cn,aou,TimeAdj.meanlog,Dist2,Pair2,order,family,genus,family_TimeAdj.meanlog,family_Dist2,family_Pair2,genus_TimeAdj.meanlog,genus_Dist2,genus_Pair2,order_TimeAdj.meanlog,order_Dist2,order_Pair2,Pair2_final,Dist2_final,TimeAdj.meanlog_final,C_t,C_d,C_p,PIF_adj_birds_km2
Altamira Oriole,5031,0.134838091,125,1.75,Passeriformes,Icteridae,Icterus,0.2590635304,162.5,1.5125,0.15079328057142857,125,1.7857142857142858,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,125,0.134838091,1.144351488546031,0.407436998462562,1.75,0.8159394874388797
Arizona Woodpecker,3975,0.27959732,125,1.75,Piciformes,Picidae,Dryobates,0.30280097036363635,160.22727272727272,1.5909090909090908,0.2858223914285714,125,1.8214285714285714,0.30280097036363635,160.22727272727272,1.5909090909090908,1.75,125,0.27959732,1.322597121683739,0.407436998462562,1.75,0.9430312525095814
Audubon's Oriole,5030,0.134838091,125,2,Passeriformes,Icteridae,Icterus,0.2590635304,162.5,1.5125,0.15079328057142857,125,1.7857142857142858,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.134838091,1.144351488546031,0.407436998462562,2,0.9325022713587195
Bald Eagle,3520,0.531446599,300,1.25,Accipitriformes,Accipitridae,Haliaeetus,0.43029992788235294,269.11764705882354,1.6911764705882353,0.531446599,300,1.25,0.43415746855555554,270.8333333333333,1.6666666666666667,1.25,300,0.531446599,1.701391760888966,0.07073559001086145,1.25,0.1504361875576244
Bicknell's Thrush,7571,0.440536327,200,2,Passeriformes,Turdidae,Catharus,0.5218871619166666,181.25,1.9583333333333333,0.446013549,185,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,200,0.440536327,1.553540200671163,0.15915507752443822,2,0.4945076221503005
Black Rosy-Finch,5250,0.244353977,125,1.5,Passeriformes,Fringillidae,Leucosticte,0.2552985766,123.33333333333333,1.7,0.244353977,125,1.5,0.31361236473835125,159.56989247311827,1.793010752688172,1.5,125,0.244353977,1.2767962069987555,0.407436998462562,1.5,0.7803210213419354
Black-capped Vireo,6300,0.252790135,125,2,Passeriformes,Vireonidae,Vireo,0.2619165115384615,125,2,0.2619165115384615,125,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.252790135,1.28761302357008,0.407436998462562,2,1.049242371009395
Bluethroat,7640,0.336241881,200,1.5,Passeriformes,Muscicapidae,Cyanecula,0.336241881,200,1.75,0.336241881,200,1.5,0.31361236473835125,159.56989247311827,1.793010752688172,1.5,200,0.336241881,1.3996775392720484,0.15915507752443822,1.5,0.3341486809080867
Blue-throated Hummingbird,NA,0.282947489,50,1.5,NA,NA,NA,0.321503194,177.77777777777777,1.6388888888888888,0.321503194,177.77777777777777,1.6388888888888888,0.321503194,177.77777777777777,1.6388888888888888,1.5,50,0.282947489,1.3270354760276561,2.5464812403910115,1.5,5.068906417556674
Boreal Owl,3710,0.805016534,200,2,Strigiformes,Strigidae,Aegolius,1.5650317498,181.66666666666666,1.9666666666666666,1.637745097,200,2,1.5697160733125,182.8125,1.96875,2,200,0.805016534,2.2367334806656265,0.15915507752443822,2,0.7119749810336886
Botteri's Sparrow,5760,0.332798461,200,1.75,Passeriformes,Passerellidae,Peucaea,0.49209269541463413,161.58536585365854,1.8841463414634145,0.3358864475,200,1.8125,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,200,0.332798461,1.3948661502105384,0.15915507752443822,1.75,0.3885000529777026
Broad-billed Hummingbird,4410,0.282947489,50,1.5,Apodiformes,Trochilidae,Cynanthus,0.26896575300000003,53,1.675,0.282947489,50,1.5,0.40338701964285717,95,1.625,1.5,50,0.282947489,1.3270354760276561,2.5464812403910115,1.5,5.068906417556674
Buff-bellied Hummingbird,4390,0.282947489,50,2,Apodiformes,Trochilidae,Amazilia,0.26896575300000003,53,1.675,0.282947489,50,2,0.40338701964285717,95,1.625,2,50,0.282947489,1.3270354760276561,2.5464812403910115,2,6.7585418900755645
California Condor,3240,1.083808476,400,1.5,Cathartiformes,Cathartidae,Gymnogyps,1.074966812,400,1.5833333333333333,1.083808476,400,1.5,1.074966812,400,1.5833333333333333,1.5,400,1.083808476,2.955915675136693,0.039788769381109555,1.5,0.17641837066203095
California Gnatcatcher,7530,0.507418109,80,1.75,Passeriformes,Polioptilidae,Polioptila,0.5074619813333333,70,1.75,0.5074619813333333,70,1.75,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,80,0.507418109,1.6609971403731083,0.9947192345277392,1.75,2.891395157043229
Common Black Hawk,3450,0.393264523,300,1.75,Accipitriformes,Accipitridae,Buteogallus,0.43029992788235294,269.11764705882354,1.6911764705882353,0.393264523,300,1.75,0.43415746855555554,270.8333333333333,1.6666666666666667,1.75,300,0.393264523,1.4818103103996483,0.07073559001086145,1.75,0.18342927153301952
Dusky Grouse,2970,0.516304491,200,2,Galliformes,Phasianidae,Dendragapus,0.4597494906,195,1.8833333333333333,0.516304491,200,2,0.4669907040454545,205.6818181818182,1.8295454545454546,2,200,0.516304491,1.6758231727923993,0.15915507752443822,2,0.5334315339660487
Elegant Trogon,3890,0.336241881,200,1.5,Trogoniformes,Trogonidae,Trogon,0.336241881,200,1.5,0.336241881,200,1.5,0.336241881,200,1.5,1.5,200,0.336241881,1.3996775392720484,0.15915507752443822,1.5,0.3341486809080867
Elf Owl,3810,2.813439651,125,2,Strigiformes,Strigidae,Micrathene,1.5650317498,181.66666666666666,1.9666666666666666,2.813439651,125,2,1.5697160733125,182.8125,1.96875,2,125,2.813439651,16.667148910976046,0.407436998462562,2,13.581626250433278
Flammulated Owl,3740,1.485902877,125,2,Strigiformes,Strigidae,Psiloscops,1.5650317498,181.66666666666666,1.9666666666666666,1.485902877,125,2,1.5697160733125,182.8125,1.96875,2,125,1.485902877,4.418953383558206,0.407436998462562,2,3.6008902058858756
Florida Scrub-Jay,4790,0.162911473,200,1.5,Passeriformes,Corvidae,Aphelocoma,0.25450411287499997,270.3125,1.359375,0.16282873650000002,200,1.3125,0.31361236473835125,159.56989247311827,1.793010752688172,1.5,200,0.162911473,1.1769324947735387,0.15915507752443822,1.5,0.28097217367006955
Golden-cheeked Warbler,6660,0.152835663,125,2,Passeriformes,Parulidae,Setophaga,0.18184772991489362,125.42553191489361,2,0.16679025575,116.45833333333333,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.152835663,1.1651334886665732,0.407436998462562,2,0.9494369828610442
Gray-crowned Rosy-Finch,5240,0.244353977,125,1.5,Passeriformes,Fringillidae,Leucosticte,0.2552985766,123.33333333333333,1.7,0.244353977,125,1.5,0.31361236473835125,159.56989247311827,1.793010752688172,1.5,125,0.244353977,1.2767962069987555,0.407436998462562,1.5,0.7803210213419354
Greater Pewee,4600,0.111056929,200,2,Passeriformes,Tyrannidae,Contopus,0.3035152834285714,167.85714285714286,1.9285714285714286,0.11120026799999999,225,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,200,0.111056929,1.1174585208398338,0.15915507752443822,2,0.35569839502921563
Greater Sage-Grouse,3090,0.516304491,200,1.25,Galliformes,Phasianidae,Centrocercus,0.4597494906,195,1.8833333333333333,0.516304491,200,1.25,0.4669907040454545,205.6818181818182,1.8295454545454546,1.25,200,0.516304491,1.6758231727923993,0.15915507752443822,1.25,0.3333947087287804
Groove-billed Ani,3840,0.320440779,125,1.25,Cuculiformes,Cuculidae,Crotophaga,0.329862399,185,1.85,0.320440779,125,1.25,0.329862399,185,1.85,1.25,125,0.320440779,1.3777349071328608,0.407436998462562,1.25,0.7016752190491368
