cn,TimeAdj.meanlog,TimeAdj.sdlog,Dist2,Pair2,Aou,Dist.Lower,Dist.Upper,Species,edr,edr_sd,EDR_model,use_edr,availability,availability_sd,availability_model,use_availability,availability_log_scaled,availability_sd_log_scaled
Abert's Towhee,0.926068294,0.03279521,125,2,5920,105,138,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA
Acadian Flycatcher,0.219216886,0.007581933,125,2,4650,105,138,ACFL,42.77819502676265,0.14944145360460936,Intercept,TRUE,0.6540419928041001,0.005141310846808911,6,TRUE,0.4245837204056784,0.007860988752436626
Acorn Woodpecker,0.261513967,0.032915038,200,1.75,4070,140,220,ACWO,114.21030708171595,0.8790540971653797,Intercept,TRUE,0.44828899444228965,0.016711782076304915,3,TRUE,0.8023171776596976,0.037296320784098225
Alder Flycatcher,0.279321986,0.014289896,125,2,4661,105,138,ALFL,101.3072364951446,1.0663757847865583,Roadside,TRUE,0.6076639517198699,0.006945719014986029,7,TRUE,0.49813326080404957,0.011430695376534794
Allen's Hummingbird,0.291735312,0.022923659,50,1.25,4340,26,55,ALHU,31.920461218635108,0.35822758943982436,Intercept,TRUE,0.36385722640080564,0.09042585947818105,3,TRUE,1.0109937234523505,0.25383494707046345
Altamira Oriole,0.134838091,0.034837138,125,1.75,5031,105,138,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA
American Crow,0.509424135,0.035825627,400,1.75,4880,320,440,AMCR,182.39456724196592,0.5695121605517528,Intercept,TRUE,0.5320132154762535,0.0030320148167100047,9,TRUE,0.631086948828251,0.005699196102456894
American Dipper,0.120627704,0.002232302,125,1.75,7010,105,138,AMDI,52.340133040570365,1.621567260017347,Intercept,TRUE,0.30391387006482085,0.07093612577691932,1,TRUE,1.1910109398744142,0.23779150196502902
American Goldfinch,0.311311237,0.018869851,125,1.25,5290,105,138,AMGO,79.72972928415524,0.20644836584344972,Intercept,TRUE,0.28401946108358045,0.005708389931471269,3,TRUE,1.258712518226473,0.020101294245313706
American Kestrel,0.290453514,0.006693885,200,1.25,3600,140,220,AMKE,135.30033317083792,1.9532635820723385,Intercept,TRUE,0.262999884061174,0.024373241703082638,1,TRUE,1.3356016876365076,0.09294064826658399
American Pipit,0.331264898,0.018339887,200,2,6970,140,220,AMPI,89.35187410585615,0.9367047518940765,Intercept,TRUE,0.45067803503239146,0.036617470180283496,7,TRUE,0.7970020857019084,0.08142923545360403
American Redstart,0.081164913,0.00961596,100,2,6870,84,110,AMRE,66.98753550383428,0.4498711277153191,Roadside,TRUE,0.5988246533975898,0.004041022534544636,7,TRUE,0.5127864559455197,0.006748359231081857
American Robin,0.816820459,0.040591642,200,2,7610,140,220,AMRO,95.12331746126343,0.160668777034779,Intercept,TRUE,0.5323337905726966,0.0032845751197866924,9,TRUE,0.6304845605012952,0.006170220378418412
American Three-toed Woodpecker,0.231914705,0.005639455,125,1.5,4010,105,138,ATTW,87.00106175895822,1.406116048869194,Intercept,TRUE,0.5132388353967325,0.02304950875851758,2,TRUE,0.6670139760781252,0.044940137282510784
American Tree Sparrow,0.48677923,0.263794299,200,2,5590,140,220,ATSP,100.29968657666859,0.9361008431067006,Intercept,TRUE,0.4620319877002963,0.01918578380630559,5,TRUE,0.7721211528506708,0.04154868741661594
Anna's Hummingbird,0.188295714,0.007918482,50,2,4310,26,55,ANHU,41.23949557489253,0.32167519686403523,Intercept,TRUE,0.3352297561520824,0.027062278573697363,1,TRUE,1.0929391429773898,0.08090360939866337
Arctic Warbler,0.336241881,0.212251379,125,2,7470,105,138,ARWA,109.92340521745213,2.9462720973170136,Intercept,TRUE,0.4598276017700824,0.04019699234077001,1,TRUE,0.7769036385067986,0.08764123125190137
Arizona Woodpecker,0.27959732,0.034920096,125,1.75,3975,105,138,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA
Ash-throated Flycatcher,0.285893654,0.012720806,200,1.5,4540,140,220,ATFL,91.29242175575797,0.4274957113212068,Intercept,TRUE,0.6527051939244264,0.00931478571059663,6,TRUE,0.42662971577430236,0.01427201473632525
Audubon's Oriole,0.134838091,0.034837138,125,2,5030,105,138,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA
Bachman's Sparrow,0.353020961,0.010014486,200,2,5750,140,220,BACS,87.9255686166431,1.0683509567052383,Intercept,TRUE,0.5124532469050708,0.02170745125777146,7,TRUE,0.6685457976819589,0.04238523032844793
Baird's Sparrow,0.347885573,0.018872062,125,2,5450,105,138,BAIS,82.19157020107913,1.2097584076421555,Intercept,TRUE,0.7694794396802329,0.00832049955802422,6,TRUE,0.26204104512418847,0.010813575309759987
