cn,TimeAdj.meanlog,TimeAdj.sdlog,Dist2,Pair2,Aou,Dist.Lower,Dist.Upper,Species,edr,edr_sd,EDR_model,use_edr,cue_rate,cue_rate_sd,use_cue_rate
Abert's Towhee,0.926068294,0.03279521,125,2,5920,105,138,NA,NA,NA,NA,FALSE,NA,NA,FALSE
Acadian Flycatcher,0.219216886,0.007581933,125,2,4650,105,138,ACFL,42.77819502676265,0.13826538906393893,6,TRUE,0.35381262592525303,0.0045598398559272835,TRUE
Acorn Woodpecker,0.261513967,0.032915038,200,1.75,4070,140,220,ACWO,102.54309305532647,2.1822960503106117,3,TRUE,0.19824363681887497,0.009987248241052654,TRUE
Alder Flycatcher,0.279321986,0.014289896,125,2,4661,105,138,ALFL,101.3072364951446,1.0003796001530247,7,TRUE,0.3118788468045271,0.0063841582306859435,TRUE
Allen's Hummingbird,0.291735312,0.022923659,50,1.25,4340,26,55,ALHU,31.920461218635108,0.35468226274132064,3,TRUE,0.1507774180147394,0.041468226810469466,TRUE
Altamira Oriole,0.134838091,0.034837138,125,1.75,5031,105,138,NA,NA,NA,NA,FALSE,NA,NA,FALSE
American Crow,0.509424135,0.035825627,400,1.75,4880,320,440,AMCR,175.1593229281661,0.7303344266535987,9,TRUE,0.25310507388677284,0.0020640614010891123,TRUE
American Dipper,0.120627704,0.002232302,125,1.75,7010,105,138,AMDI,52.340133040570365,1.6361888899991754,7,TRUE,0.05994149499380203,NA,TRUE
American Goldfinch,0.311311237,0.018869851,125,1.25,5290,105,138,AMGO,77.51201946912836,0.2593656975561913,3,TRUE,0.11136743089173742,0.002945907823296956,TRUE
American Kestrel,0.290453514,0.006693885,200,1.25,3600,140,220,AMKE,118.00872751651457,3.045421233573279,1,TRUE,0.101722409826991,0.009496945826605832,TRUE
American Pipit,0.331264898,0.018339887,200,2,6970,140,220,AMPI,69.56056228002547,3.7204047421552247,7,TRUE,0.19969018407849645,0.01862708631619822,TRUE
