"Prov.letters","cn","BCR","RngAdj","Prov.num","ProvBCR"
"AB","Red-naped Sapsucker",6,0.5,"4","4-6"
"AB","Red-tailed Hawk",6,1,"4","4-6"
"AB","Red-eyed Vireo",6,1,"4","4-6"
"AB","Alder Flycatcher",6,1,"4","4-6"
"AB","American Crow",6,1,"4","4-6"
"AB","American Goldfinch",6,0.74,"4","4-6"
"AB","American Kestrel",6,1,"4","4-6"
"AB","American Redstart",6,1,"4","4-6"
"AB","American Dipper",6,0.58,"4","4-6"
"AB","Savannah Sparrow",6,1,"4","4-6"
"AB","Say's Phoebe",6,0.62,"4","4-6"
"AB","Sedge Wren",6,0.41,"4","4-6"
"AB","Sharp-shinned Hawk",6,1,"4","4-6"
"AB","Red-winged Blackbird",6,1,"4","4-6"
"AB","Ring-necked Pheasant",6,0.47,"4","4-6"
"AB","Rock Wren",6,0.41,"4","4-6"
"AB","Rose-breasted Grosbeak",6,0.95,"4","4-6"
"AB","Ruby-crowned Kinglet",6,1,"4","4-6"
"AB","Ruby-throated Hummingbird",6,0.45,"4","4-6"
"AB","Ruffed Grouse",6,1,"4","4-6"
"AB","Rufous Hummingbird",6,1,"4","4-6"
"AB","American Robin",6,1,"4","4-6"
"AB","Swamp Sparrow",6,1.03,"4","4-6"
"AB","Tennessee Warbler",6,1,"4","4-6"
"AB","Townsend's Solitaire",6,0.5,"4","4-6"
"AB","Townsend's Warbler",6,0.84,"4","4-6"
"AB","Tree Swallow",6,1,"4","4-6"
"AB","Turkey Vulture",6,0.41,"4","4-6"
"AB","Varied Thrush",6,0.55,"4","4-6"
"AB","Vaux's Swift",6,1,"4","4-6"
"AB","Veery",6,0.45,"4","4-6"
"AB","Vesper Sparrow",6,1,"4","4-6"
"AB","Violet-green Swallow",6,0.47,"4","4-6"
"AB","Warbling Vireo",6,1,"4","4-6"
"AB","Rusty Blackbird",6,1,"4","4-6"
"AB","Purple Finch",6,1,"4","4-6"
"AB","Purple Martin",6,0.55,"4","4-6"
"AB","Red Crossbill",6,1.03,"4","4-6"
"AB","Red-breasted Nuthatch",6,1,"4","4-6"
"AB","White-breasted Nuthatch",6,0.53,"4","4-6"
"AB","White-crowned Sparrow",6,1.24,"4","4-6"
"AB","White-tailed Ptarmigan",6,0.84,"4","4-6"
"AB","White-throated Sparrow",6,1,"4","4-6"
"AB","White-winged Crossbill",6,1,"4","4-6"
"AB","Willow Flycatcher",6,0.5,"4","4-6"
"AB","Willow Ptarmigan",6,0.41,"4","4-6"
"AB","Wilson's Warbler",6,1.19,"4","4-6"
"AB","Winter Wren",6,0.94,"4","4-6"
"AB","Yellow Warbler",6,1,"4","4-6"
"AB","Yellow-bellied Flycatcher",6,1,"4","4-6"
"AB","Yellow-bellied Sapsucker",6,1,"4","4-6"
"AB","Yellow-headed Blackbird",6,0.94,"4","4-6"
"AB","Yellow-rumped Warbler",6,1.03,"4","4-6"
"AB","Sharp-tailed Grouse",6,1,"4","4-6"
"AB","Short-eared Owl",6,1,"4","4-6"
"AB","Song Sparrow",6,1,"4","4-6"
"AB","Spotted Towhee",6,0.47,"4","4-6"
"AB","Sprague's Pipit",6,0.55,"4","4-6"
"AB","Spruce Grouse",6,1,"4","4-6"
"AB","Steller's Jay",6,0.84,"4","4-6"
"AB","Swainson's Hawk",6,0.7,"4","4-6"
"AB","Swainson's Thrush",6,1,"4","4-6"
"AB","Northern Saw-whet Owl",6,0.52,"4","4-6"
"AB","Northern Shrike",6,4.43,"4","4-6"
"AB","Northern Waterthrush",6,1.05,"4","4-6"
"AB","Olive-sided Flycatcher",6,1,"4","4-6"
"AB","Orange-crowned Warbler",6,1,"4","4-6"
"AB","Osprey",6,1,"4","4-6"
"AB","Ovenbird",6,1,"4","4-6"
"AB","Palm Warbler",6,1,"4","4-6"
"AB","Philadelphia Vireo",6,1,"4","4-6"
"AB","Pileated Woodpecker",6,0.89,"4","4-6"
"AB","Pine Grosbeak",6,3.1,"4","4-6"
"AB","Pine Siskin",6,1,"4","4-6"
"AB","Prairie Falcon",6,0.52,"4","4-6"
"AB","Western Kingbird",6,0.62,"4","4-6"
"AB","Western Meadowlark",6,0.58,"4","4-6"
"AB","Western Tanager",6,1,"4","4-6"
"AB","Western Wood-Pewee",6,0.88,"4","4-6"
"AB","Horned Lark",6,0.65,"4","4-6"
"AB","House Sparrow",6,1,"4","4-6"
"AB","House Wren",6,0.75,"4","4-6"
"AB","Le Conte's Sparrow",6,1,"4","4-6"
"AB","Least Flycatcher",6,1,"4","4-6"
"AB","Lewis's Woodpecker",6,0.52,"4","4-6"
"AB","Lincoln's Sparrow",6,1,"4","4-6"
"AB","Loggerhead Shrike",6,0.47,"4","4-6"
"AB","Long-eared Owl",6,1,"4","4-6"
"AB","MacGillivray's Warbler",6,0.84,"4","4-6"
"AB","Magnolia Warbler",6,1,"4","4-6"
"AB","Marsh Wren",6,0.89,"4","4-6"
"AB","Merlin",6,1,"4","4-6"
"AB","Mountain Bluebird",6,0.79,"4","4-6"
"AB","American Three-toed Woodpecker",6,1,"4","4-6"
"AB","American Tree Sparrow",6,0.83,"4","4-6"
"AB","Bald Eagle",6,1,"4","4-6"
"AB","Baltimore Oriole",6,0.6,"4","4-6"
"AB","Bank Swallow",6,1.05,"4","4-6"
"AB","Barn Swallow",6,1.04,"4","4-6"
"AB","Barred Owl",6,0.65,"4","4-6"
"AB","Bay-breasted Warbler",6,3.18,"4","4-6"
"AB","Belted Kingfisher",6,1,"4","4-6"
"AB","Black-and-white Warbler",6,1,"4","4-6"
"AB","Black-backed Woodpecker",6,1,"4","4-6"
"AB","Black-billed Cuckoo",6,0.49,"4","4-6"
"AB","Black-billed Magpie",6,0.9,"4","4-6"
"AB","Black-capped Chickadee",6,1,"4","4-6"
"AB","Blackpoll Warbler",6,1.03,"4","4-6"
"AB","Black-throated Green Warbler",6,0.8,"4","4-6"
"AB","Blue Jay",6,0.63,"4","4-6"
"AB","Blue-headed Vireo",6,1,"4","4-6"
"AB","Bobolink",6,0.47,"4","4-6"
"AB","Bohemian Waxwing",6,1,"4","4-6"
"AB","Boreal Chickadee",6,1,"4","4-6"
"AB","Boreal Owl",6,1.03,"4","4-6"
"AB","Great Gray Owl",6,1.06,"4","4-6"
"AB","Great Horned Owl",6,1,"4","4-6"
"AB","Hairy Woodpecker",6,1,"4","4-6"
"AB","Hermit Thrush",6,1,"4","4-6"
"AB","Broad-winged Hawk",6,0.54,"4","4-6"
"AB","Brown Creeper",6,0.49,"4","4-6"
"AB","Brown Thrasher",6,0.62,"4","4-6"
"AB","Brown-headed Cowbird",6,1,"4","4-6"
"AB","Burrowing Owl",6,0.55,"4","4-6"
"AB","Calliope Hummingbird",6,0.84,"4","4-6"
"AB","Canada Warbler",6,1.11,"4","4-6"
"AB","Cape May Warbler",6,1,"4","4-6"
"AB","Cedar Waxwing",6,0.96,"4","4-6"
"AB","Chestnut-backed Chickadee",6,0.41,"4","4-6"
"AB","Chipping Sparrow",6,1,"4","4-6"
"AB","Clark's Nutcracker",6,0.52,"4","4-6"
"AB","Clay-colored Sparrow",6,1,"4","4-6"
"AB","Cliff Swallow",6,1.01,"4","4-6"
"AB","Mountain Chickadee",6,0.48,"4","4-6"
"AB","Mourning Dove",6,0.56,"4","4-6"
"AB","Mourning Warbler",6,0.91,"4","4-6"
"AB","Nelson's Sparrow",6,0.93,"4","4-6"
"AB","Northern Flicker",6,1,"4","4-6"
"AB","Northern Goshawk",6,1,"4","4-6"
"AB","Northern Harrier",6,1,"4","4-6"
"AB","Northern Hawk Owl",6,1,"4","4-6"
"AB","Northern Pygmy-Owl",6,0.48,"4","4-6"
"AB","Northern Rough-winged Swallow",6,0.5,"4","4-6"
"AB","Dusky Flycatcher",6,1,"4","4-6"
"AB","Dusky Grouse",6,0.84,"4","4-6"
"AB","Eastern Kingbird",6,1,"4","4-6"
"AB","Eastern Phoebe",6,1,"4","4-6"
"AB","European Starling",6,1,"4","4-6"
"AB","Evening Grosbeak",6,0.99,"4","4-6"
"AB","Fox Sparrow",6,1,"4","4-6"
"AB","Golden Eagle",6,1,"4","4-6"
"AB","Golden-crowned Kinglet",6,1.15,"4","4-6"
"AB","Gray Catbird",6,0.53,"4","4-6"
"AB","Gray Jay",6,1.03,"4","4-6"
"AB","Gray Partridge",6,0.55,"4","4-6"
"AB","Gray-crowned Rosy-Finch",6,0.55,"4","4-6"
"AB","Great Crested Flycatcher",6,0.55,"4","4-6"
"AB","Brewer's Blackbird",6,0.83,"4","4-6"
"AB","Brewer's Sparrow",6,0.48,"4","4-6"
"AB","Common Redpoll",6,1.24,"4","4-6"
"AB","Common Grackle",6,1,"4","4-6"
"AB","Common Nighthawk",6,1,"4","4-6"
"AB","Common Raven",6,1.41,"4","4-6"
"AB","Cordilleran Flycatcher",6,1,"4","4-6"
"AB","Common Yellowthroat",6,1,"4","4-6"
"AB","Connecticut Warbler",6,0.58,"4","4-6"
"AB","Cooper's Hawk",6,0.5,"4","4-6"
"AB","Dark-eyed Junco",6,1,"4","4-6"
"AB","Downy Woodpecker",6,1,"4","4-6"
"AK","Alder Flycatcher",2,1,"3","3-2"
"AK","American Dipper",2,0.81,"3","3-2"
