"cn","To.ProvBCR","From.ProvBCR","RngAdj","To.BCR","To.Prov","From.BCR","From.Prov"
"Swainson's Thrush","4-7","4-6",1,7,"AB",6,"AB"
"Common Redpoll","4-7","4-6",2,7,"AB",6,"AB"
"Spruce Grouse","4-8","4-6",1,8,"AB",6,"AB"
"House Sparrow","4-8","4-6",1,8,"AB",6,"AB"
"American Kestrel","4-8","4-6",1,8,"AB",6,"AB"
"Hairy Woodpecker","4-7","4-6",1,7,"AB",6,"AB"
"Fox Sparrow","4-8","4-6",1,8,"AB",6,"AB"
"Evening Grosbeak","4-7","4-6",0.22,7,"AB",6,"AB"
"Le Conte's Sparrow","4-7","4-6",1,7,"AB",6,"AB"
"Red-winged Blackbird","4-8","4-6",1,8,"AB",6,"AB"
"American Crow","4-7","4-6",0.93,7,"AB",6,"AB"
"Nelson's Sparrow","4-8","4-6",0.68,8,"AB",6,"AB"
"Alder Flycatcher","4-8","4-6",1,8,"AB",6,"AB"
"American Three-toed Woodpecker","4-8","4-6",1,8,"AB",6,"AB"
"Nelson's Sparrow","4-7","4-6",0.16,7,"AB",6,"AB"
"White-throated Sparrow","4-8","4-6",1,8,"AB",6,"AB"
"Savannah Sparrow","4-7","4-6",1,7,"AB",6,"AB"
"Common Yellowthroat","4-8","4-6",0.43,8,"AB",6,"AB"
"Cedar Waxwing","4-7","4-6",1,7,"AB",6,"AB"
"White-winged Crossbill","4-8","4-6",1,8,"AB",6,"AB"
"European Starling","4-7","4-6",1,7,"AB",6,"AB"
"Northern Hawk Owl","4-8","4-6",1,8,"AB",6,"AB"
"Eastern Kingbird","4-7","4-6",1,7,"AB",6,"AB"
"Ruby-crowned Kinglet","4-8","4-6",1,8,"AB",6,"AB"
"Osprey","4-8","4-6",1,8,"AB",6,"AB"
"Spruce Grouse","4-7","4-6",1,7,"AB",6,"AB"
"Bald Eagle","4-7","4-6",1,7,"AB",6,"AB"
"Gray Jay","4-8","4-6",1.09,8,"AB",6,"AB"
"Wilson's Warbler","4-7","4-6",1.33,7,"AB",6,"AB"
"Common Yellowthroat","4-7","4-6",0.01,7,"AB",6,"AB"
"Yellow Warbler","4-8","4-6",0.99,8,"AB",6,"AB"
"Ovenbird","4-8","4-6",0.27,8,"AB",6,"AB"
"American Tree Sparrow","4-8","4-6",1.94,8,"AB",6,"AB"
"Red-winged Blackbird","4-7","4-6",1,7,"AB",6,"AB"
"Northern Flicker","4-8","4-6",1,8,"AB",6,"AB"
"Bay-breasted Warbler","4-8","4-6",2,8,"AB",6,"AB"
"Ruffed Grouse","4-7","4-6",1,7,"AB",6,"AB"
"Golden Eagle","4-8","4-6",1,8,"AB",6,"AB"
"Blackpoll Warbler","4-8","4-6",1.04,8,"AB",6,"AB"
"Red-tailed Hawk","4-8","4-6",1,8,"AB",6,"AB"
"European Starling","4-8","4-6",1,8,"AB",6,"AB"
"Yellow-rumped Warbler","4-7","4-6",1.04,7,"AB",6,"AB"
"Boreal Owl","4-8","4-6",1.04,8,"AB",6,"AB"
"Philadelphia Vireo","4-8","4-6",0.99,8,"AB",6,"AB"
"Song Sparrow","4-8","4-6",1,8,"AB",6,"AB"
"Northern Hawk Owl","4-7","4-6",1,7,"AB",6,"AB"
"White-throated Sparrow","4-7","4-6",1,7,"AB",6,"AB"
"Golden-crowned Kinglet","4-8","4-6",1.25,8,"AB",6,"AB"
"Le Conte's Sparrow","4-8","4-6",1,8,"AB",6,"AB"
"American Robin","4-7","4-6",1,7,"AB",6,"AB"
"White-crowned Sparrow","4-7","4-6",1.49,7,"AB",6,"AB"
"Black-backed Woodpecker","4-8","4-6",1,8,"AB",6,"AB"
"Brown-headed Cowbird","4-7","4-6",0.05,7,"AB",6,"AB"
"Olive-sided Flycatcher","4-8","4-6",1,8,"AB",6,"AB"
"Pine Siskin","4-8","4-6",1,8,"AB",6,"AB"
"Chipping Sparrow","4-8","4-6",1,8,"AB",6,"AB"
"Swainson's Thrush","4-8","4-6",0.99,8,"AB",6,"AB"
"Clay-colored Sparrow","4-8","4-6",1,8,"AB",6,"AB"
"Osprey","4-7","4-6",1,7,"AB",6,"AB"
"American Kestrel","4-7","4-6",1,7,"AB",6,"AB"
"American Redstart","4-7","4-6",0.04,7,"AB",6,"AB"
"Golden Eagle","4-7","4-6",1,7,"AB",6,"AB"
"Common Nighthawk","4-7","4-6",0.68,7,"AB",6,"AB"
"Downy Woodpecker","4-7","4-6",1,7,"AB",6,"AB"
"Merlin","4-7","4-6",1,7,"AB",6,"AB"
"Orange-crowned Warbler","4-8","4-6",1,8,"AB",6,"AB"
"Purple Finch","4-8","4-6",0.29,8,"AB",6,"AB"
"Tennessee Warbler","4-7","4-6",1,7,"AB",6,"AB"
"Vesper Sparrow","4-7","4-6",0.68,7,"AB",6,"AB"
"Hermit Thrush","4-8","4-6",1,8,"AB",6,"AB"
"Common Grackle","4-8","4-6",1,8,"AB",6,"AB"
"Northern Flicker","4-7","4-6",1,7,"AB",6,"AB"
"Hermit Thrush","4-7","4-6",1,7,"AB",6,"AB"
"Bald Eagle","4-8","4-6",1,8,"AB",6,"AB"
"Philadelphia Vireo","4-7","4-6",0.45,7,"AB",6,"AB"
"Merlin","4-8","4-6",1,8,"AB",6,"AB"
"Yellow-headed Blackbird","4-8","4-6",0.39,8,"AB",6,"AB"
"Yellow-headed Blackbird","4-7","4-6",0.08,7,"AB",6,"AB"
"Rusty Blackbird","4-7","4-6",1,7,"AB",6,"AB"
"Dark-eyed Junco","4-8","4-6",1,8,"AB",6,"AB"
"Mourning Warbler","4-8","4-6",1,8,"AB",6,"AB"
"Sharp-tailed Grouse","4-8","4-6",1,8,"AB",6,"AB"
"Belted Kingfisher","4-8","4-6",1,8,"AB",6,"AB"
"Palm Warbler","4-7","4-6",1,7,"AB",6,"AB"
"Cape May Warbler","4-7","4-6",1,7,"AB",6,"AB"
"Northern Waterthrush","4-8","4-6",1.09,8,"AB",6,"AB"
"American Redstart","4-8","4-6",0.07,8,"AB",6,"AB"
"Red-eyed Vireo","4-7","4-6",1,7,"AB",6,"AB"
"Northern Harrier","4-8","4-6",1,8,"AB",6,"AB"
"Horned Lark","4-7","4-6",2,7,"AB",6,"AB"
"Ruby-crowned Kinglet","4-7","4-6",1,7,"AB",6,"AB"
"Gray Jay","4-7","4-6",1.09,7,"AB",6,"AB"
"Bank Swallow","4-8","4-6",1.09,8,"AB",6,"AB"
"Sharp-tailed Grouse","4-7","4-6",1,7,"AB",6,"AB"
"Chipping Sparrow","4-7","4-6",1,7,"AB",6,"AB"
"Long-eared Owl","4-7","4-6",1,7,"AB",6,"AB"
"American Crow","4-8","4-6",1,8,"AB",6,"AB"
"Black-backed Woodpecker","4-7","4-6",1,7,"AB",6,"AB"
"Golden-crowned Kinglet","4-7","4-6",1.02,7,"AB",6,"AB"
"Canada Warbler","4-7","4-6",0.01,7,"AB",6,"AB"
"Cliff Swallow","4-8","4-6",0.39,8,"AB",6,"AB"
"Rusty Blackbird","4-8","4-6",1,8,"AB",6,"AB"
"Blackpoll Warbler","4-7","4-6",1.04,7,"AB",6,"AB"
"Red-breasted Nuthatch","4-8","4-6",1,8,"AB",6,"AB"
"Palm Warbler","4-8","4-6",0.99,8,"AB",6,"AB"
"Great Horned Owl","4-7","4-6",1,7,"AB",6,"AB"
"Pine Grosbeak","4-8","4-6",2,8,"AB",6,"AB"
"House Sparrow","4-7","4-6",0.96,7,"AB",6,"AB"
"Common Grackle","4-7","4-6",1,7,"AB",6,"AB"
"Barn Swallow","4-8","4-6",0.23,8,"AB",6,"AB"
"Black-throated Green Warbler","4-8","4-6",0.98,8,"AB",6,"AB"
"Vesper Sparrow","4-8","4-6",1,8,"AB",6,"AB"
"Horned Lark","4-8","4-6",0.68,8,"AB",6,"AB"
"Warbling Vireo","4-7","4-6",0.52,7,"AB",6,"AB"
"Pine Siskin","4-7","4-6",1,7,"AB",6,"AB"
"Tennessee Warbler","4-8","4-6",1,8,"AB",6,"AB"
"Savannah Sparrow","4-8","4-6",1,8,"AB",6,"AB"
"Eastern Phoebe","4-8","4-6",1,8,"AB",6,"AB"
"Pileated Woodpecker","4-8","4-6",0.01,8,"AB",6,"AB"
"American Tree Sparrow","4-7","4-6",2,7,"AB",6,"AB"
"Northern Shrike","4-7","4-6",2,7,"AB",6,"AB"
"Northern Harrier","4-7","4-6",1,7,"AB",6,"AB"
"Magnolia Warbler","4-7","4-6",1,7,"AB",6,"AB"
"Bohemian Waxwing","4-7","4-6",1,7,"AB",6,"AB"
"Swamp Sparrow","4-8","4-6",1.04,8,"AB",6,"AB"
"Great Gray Owl","4-8","4-6",1.14,8,"AB",6,"AB"
