"Prov.letters","BCR","Area.km2","Prov.num","ProvBCR"
"AB",8,4606,"4","4-8"
"AB",10,47029,"4","4-10"
"AB",11,156193,"4","4-11"
"AB",7,8897,"4","4-7"
"AB",6,442293,"4","4-6"
"AK",4,723857,"3","3-4"
"AK",1,15058,"3","3-1"
"AK",2,295898,"3","3-2"
"AK",3,307844,"3","3-3"
"AK",5,162503,"3","3-5"
"AL",24,8247,"2","2-24"
"AL",28,37658,"2","2-28"
"AL",29,5466,"2","2-29"
"AL",27,82702,"2","2-27"
"AR",25,65211,"7","7-25"
"AR",24,33534,"7","7-24"
"AR",26,39102,"7","7-26"
"AZ",35,1129,"6","6-35"
"AZ",33,103958,"6","6-33"
"AZ",16,93701,"6","6-16"
"AZ",34,96571,"6","6-34"
"BC",4,199554,"11","11-4"
"BC",9,60293,"11","11-9"
"BC",10,382730,"11","11-10"
"BC",5,200976,"11","11-5"
"BC",6,106846,"11","11-6"
"CA",5,46001,"14","14-5"
"CA",9,40553,"14","14-9"
"CA",32,166997,"14","14-32"
"CA",33,104825,"14","14-33"
"CA",15,51831,"14","14-15"
"CO",10,9402,"17","17-10"
"CO",18,113239,"17","17-18"
"CO",16,146852,"17","17-16"
"CT",28,915,"18","18-28"
"CT",14,1078,"18","18-14"
"CT",30,10829,"18","18-30"
"DE",29,220,"21","21-29"
"DE",30,4910,"21","21-30"
"FL",27,52578,"25","25-27"
"FL",31,95806,"25","25-31"
"GA",28,16592,"27","27-28"
"GA",29,42593,"27","27-29"
"GA",27,93683,"27","27-27"
"IA",22,108344,"36","36-22"
"IA",11,30530,"36","36-11"
"IA",23,7312,"36","36-23"
"ID",16,880,"33","33-16"
"ID",9,109751,"33","33-9"
"ID",10,104864,"33","33-10"
"IL",22,123473,"34","34-22"
"IL",23,3278,"34","34-23"
"IL",24,18710,"34","34-24"
"IL",26,422,"34","34-26"
"IN",22,44701,"35","35-22"
"IN",23,13059,"35","35-23"
"IN",24,35774,"35","35-24"
"KS",19,110094,"38","38-19"
"KS",21,247,"38","38-21"
"KS",18,37362,"38","38-18"
"KS",24,108,"38","38-24"
"KS",22,65988,"38","38-22"
"KY",27,3979,"39","39-27"
"KY",26,684,"39","39-26"
"KY",28,29856,"39","39-28"
"KY",24,69370,"39","39-24"
"LA",26,39696,"42","42-26"
"LA",25,47358,"42","42-25"
"LA",37,25251,"42","42-37"
"LA",27,7594,"42","42-27"
"MA",30,14585,"47","47-30"
"MA",14,5687,"47","47-14"
"MA",28,713,"47","47-28"
"MB",6,90257,"45","45-6"
"MB",12,14307,"45","45-12"
"MB",8,232316,"45","45-8"
"MB",3,1435,"45","45-3"
"MB",7,199552,"45","45-7"
"MB",11,66804,"45","45-11"
"MD",29,6921,"46","46-29"
"MD",28,4319,"46","46-28"
"MD",30,14663,"46","46-30"
"ME",30,2123,"44","44-30"
"ME",14,82100,"44","44-14"
"MI",12,87773,"49","49-12"
"MI",22,4241,"49","49-22"
"MI",23,58593,"49","49-23"
"MN",12,87301,"50","50-12"
"MN",22,10587,"50","50-22"
"MN",11,69590,"50","50-11"
"MN",23,49845,"50","50-23"
"MO",24,86622,"52","52-24"
"MO",26,10624,"52","52-26"
"MO",22,82886,"52","52-22"
"MS",27,103198,"51","51-27"
"MS",37,91,"51","51-37"
"MS",26,20249,"51","51-26"
"MT",10,156882,"53","53-10"
"MT",17,139265,"53","53-17"
"MT",11,83143,"53","53-11"
"NB",14,72750,"56","56-14"
"NC",28,21162,"63","63-28"
"NC",27,61289,"63","63-27"
"NC",29,46077,"63","63-29"
"ND",17,55008,"64","64-17"
"ND",11,127264,"64","64-11"
"NE",17,4872,"54","54-17"
"NE",11,15535,"54","54-11"
"NE",18,35256,"54","54-18"
"NE",19,121117,"54","54-19"
"NE",22,21979,"54","54-22"
"NH",30,4139,"58","58-30"
"NH",14,19869,"58","58-14"
