common_name,species,Global Median,Global lower bound_80,Global upper bound_80,Global lower bound_95,Global upper bound_95,US_CAN Median,US_CAN lower bound_80,US_CAN upper bound_80,US_CAN lower bound_95,US_CAN upper bound_95,PS.Score,PS lower bound_80,PS upper bound_80,PS lower bound_95,PS upper bound_95
Mountain Quail,Oreortyx pictus,260000,2.00E+05,330000,180000,360000,250000,2.00E+05,310000,170000,350000,4,4,4,4,4
Scaled Quail,Callipepla squamata,4900000,4.00E+06,6.00E+06,3700000,6600000,2400000,1900000,2900000,1800000,3200000,3,3,2,3,2
California Quail,Callipepla californica,4500000,3600000,5500000,3200000,6.00E+06,3300000,2700000,4100000,2400000,4500000,3,3,2,3,2
Gambel's Quail,Callipepla gambelii,7.00E+06,5600000,8600000,4900000,9500000,5200000,4100000,6300000,3600000,7.00E+06,2,2,2,3,2
Chukar,Alectoris chukar,7600000,5500000,1.00E+07,4600000,1.20E+07,380000,280000,520000,230000,610000,2,2,2,3,2
Gray Partridge,Perdix perdix,8200000,6900000,9700000,6400000,1.00E+07,820000,690000,970000,640000,1.00E+06,2,2,2,2,2
Ring-necked Pheasant,Phasianus colchicus,5.50E+07,5.00E+07,6.10E+07,4.80E+07,6.50E+07,1.70E+07,1.50E+07,1.80E+07,1.40E+07,1.90E+07,1,1,1,2,1
Willow Ptarmigan,Lagopus lagopus,4.10E+07,2.90E+07,6.00E+07,2.40E+07,7.10E+07,1.20E+07,8600000,1.80E+07,7200000,2.10E+07,2,2,1,2,1
Rock Ptarmigan,Lagopus muta,7900000,7100000,9100000,6800000,9800000,3900000,3600000,4500000,3400000,4900000,2,2,2,2,2
Sharp-tailed Grouse,Tympanuchus phasianellus,760000,630000,9.00E+05,570000,980000,760000,630000,9.00E+05,570000,980000,3,3,3,3,3
Greater Prairie-Chicken,Tympanuchus cupido,350000,240000,5.00E+05,2.00E+05,630000,350000,240000,5.00E+05,2.00E+05,630000,4,4,3,4,3
Rock Pigeon,Columba livia,1.60E+08,1.50E+08,1.80E+08,1.50E+08,1.80E+08,1.60E+07,1.50E+07,1.70E+07,1.50E+07,1.80E+07,1,1,1,1,1
Band-tailed Pigeon,Patagioenas fasciata,3100000,2400000,3800000,2200000,4200000,1400000,1200000,1800000,1.00E+06,2.00E+06,3,3,3,3,3
Inca Dove,Columbina inca,1900000,1600000,2200000,1500000,2300000,620000,530000,710000,490000,770000,3,3,3,3,3
Common Ground-Dove,Columbina passerina,1.10E+07,9800000,1.30E+07,9.00E+06,1.40E+07,2.00E+06,1700000,2300000,1600000,2400000,2,2,2,2,2
White-winged Dove,Zenaida asiatica,8800000,6900000,1.10E+07,6300000,1.30E+07,5.00E+06,4.00E+06,6500000,3600000,7400000,2,2,2,2,2
Mourning Dove,Zenaida macroura,1.60E+08,1.50E+08,1.60E+08,1.40E+08,1.70E+08,1.30E+08,1.30E+08,1.40E+08,1.20E+08,1.40E+08,1,1,1,1,1
Yellow-billed Cuckoo,Coccyzus americanus,9700000,9100000,1.00E+07,8800000,1.10E+07,8400000,7800000,8900000,7600000,9200000,2,2,2,2,2
Black-billed Cuckoo,Coccyzus erythropthalmus,870000,780000,970000,740000,1100000,870000,780000,970000,740000,1100000,3,3,3,3,3
Greater Roadrunner,Geococcyx californianus,1300000,1200000,1500000,1100000,1600000,830000,730000,950000,690000,1.00E+06,3,3,3,3,3
Lesser Nighthawk,Chordeiles acutipennis,1.40E+07,1.00E+07,1.80E+07,9.00E+06,2.10E+07,3700000,2800000,4800000,2400000,5500000,2,2,2,2,2
Common Nighthawk,Chordeiles minor,2.30E+07,2.20E+07,2.50E+07,2.10E+07,2.60E+07,2.20E+07,2.00E+07,2.40E+07,1.90E+07,2.50E+07,2,2,2,2,2
Common Poorwill,Phalaenoptilus nuttallii,1700000,1400000,2100000,1200000,2300000,1300000,1100000,1600000,970000,1800000,3,3,3,3,3
Chuck-will's-widow,Antrostomus carolinensis,5600000,5.00E+06,6200000,4800000,6600000,5600000,5.00E+06,6200000,4800000,6600000,2,2,2,3,2
