cn,pGL_UsCa,pWH_UsCa,pGL_WH
Yellow-green Vireo,0,0,1
Budgerigar,0.0001,1,0.0001
Common Myna,0.0001,1,0.0001
Eastern Yellow Wagtail,0.0001,1,0.0001
Red-throated Pipit,0.0001,1,0.0001
Sky Lark,0.0001,1,0.0001
Hook-billed Kite,0.0002,0.0002,1
White-collared Seedeater,0.0002,0.0002,1
Eurasian Tree Sparrow,0.001,1,0.001
Ringed Kingfisher,0.0011,0.0011,1
Shiny Cowbird,0.0015,0.0015,1
Common Pauraque,0.0016,0.0016,1
Antillean Nighthawk,0.0022,0.0022,1
Tropical Kingbird,0.0027,0.0027,1
White-tipped Dove,0.0028,0.0028,1
Great Kiskadee,0.0034,0.0034,1
Tropical Parula,0.0038,0.0038,1
Short-tailed Hawk,0.0039,0.0039,1
Smooth-billed Ani,0.0041,0.0041,1
Ferruginous Pygmy-Owl,0.0046,0.0046,1
Buff-breasted Flycatcher,0.005,0.005,1
Snail Kite,0.0053,0.0053,1
Dusky-capped Flycatcher,0.0057,0.0057,1
Mexican Chickadee,0.0057,0.0057,1
Red-billed Pigeon,0.0057,0.0057,1
Western Spindalis,0.0079,0.0079,1
Gray Hawk,0.0085,0.0085,1
Rose-throated Becard,0.0085,0.0085,1
White-tailed Hawk,0.0086,0.0086,1
White-crowned Pigeon,0.0089,0.0089,1
Green Kingfisher,0.01,0.01,1
Colima Warbler,0.0117,0.0117,1
Northern Beardless-Tyrannulet,0.0124,0.0124,1
Brown Jay,0.0131,0.0131,1
Gray-headed Chickadee,0.015,1,0.015
Botteri's Sparrow,0.0182,0.0182,1
Buff-bellied Hummingbird,0.0217,0.0217,1
Whiskered Screech-Owl,0.0218,0.0218,1
Plain Chachalaca,0.0229,0.0229,1
Brown-crested Flycatcher,0.0234,0.0234,1
Audubon's Oriole,0.024,0.024,1
Sulphur-bellied Flycatcher,0.0258,0.0258,1
Violet-crowned Hummingbird,0.0271,0.0271,1
White Wagtail,0.0276,1,0.0276
Swallow-tailed Kite,0.0286,0.0286,1
Bluethroat,0.029,1,0.029
Monk Parakeet,0.0292,0.0292,1
Broad-billed Hummingbird,0.0295,0.0295,1
Altamira Oriole,0.0317,0.0317,1
Green Jay,0.0374,0.0374,1
Arizona Woodpecker,0.038,0.038,1
Red-crowned Parrot,0.0391,0.0391,1
White-tailed Kite,0.0412,0.0412,1
Groove-billed Ani,0.0432,0.0432,1
Thick-billed Kingbird,0.0445,0.0445,1
Five-striped Sparrow,0.0449,0.0449,1
California Gnatcatcher,0.0463,0.0463,1
Mangrove Cuckoo,0.0478,0.0478,1
Eurasian Collared-Dove,0.0486,0.971,0.05
Chukar,0.05,1,0.05
White-winged Parakeet,0.0518,0.0518,1
Magnificent Hummingbird,0.0521,0.0521,1
Hepatic Tanager,0.0528,0.0528,1
Yellow-eyed Junco,0.0534,0.0534,1
Crested Caracara,0.0543,0.0543,1
Harris's Hawk,0.0565,0.0565,1
Buff-collared Nightjar,0.0575,0.0575,1
Elegant Trogon,0.0605,0.0605,1
Zone-tailed Hawk,0.0608,0.0608,1
Black-whiskered Vireo,0.061,0.061,1
Olive Sparrow,0.063,0.063,1
Common Black Hawk,0.0696,0.0696,1
Barn Owl,0.0697,0.2323,0.3
Blue-throated Hummingbird,0.0701,0.0701,1
Varied Bunting,0.0807,0.0807,1
Tamaulipas Crow,0.0816,0.0816,1
Black Vulture,0.0891,0.0891,1
Lucifer Hummingbird,0.0969,0.0969,1
Vermilion Flycatcher,0.0974,0.0974,1
Rock Pigeon,0.0988,0.3294,0.3
Arctic Warbler,0.1,1,0.1
Gray Partridge,0.1,1,0.1
Northern Wheatear,0.1,1,0.1
Montezuma Quail,0.1003,0.1003,1
Bronzed Cowbird,0.1032,0.1032,1
Olive Warbler,0.1271,0.1271,1
Greater Pewee,0.1316,0.1316,1
Bridled Titmouse,0.1339,0.1339,1
Rufous-winged Sparrow,0.1361,0.1361,1
House Sparrow,0.1508,0.5027,0.3
Mexican Jay,0.1711,0.1711,1
Common Ground-Dove,0.1756,0.1756,1
Black Phoebe,0.1772,0.1772,1
Gray Kingbird,0.1861,0.1861,1
Couch's Kingbird,0.1927,0.1927,1
Mexican Whip-poor-will,0.195,0.195,1
Short-eared Owl,0.196,0.6534,0.3
Northern Shrike,0.2,1,0.2
Painted Redstart,0.2195,0.2195,1
Peregrine Falcon,0.2224,0.7413,0.3
Golden-fronted Woodpecker,0.2281,0.2281,1
Lesser Nighthawk,0.268,0.268,1
Common Raven,0.2698,0.8995,0.3
House Wren,0.2705,0.2705,1
Barn Swallow,0.2774,0.9245,0.3
Gila Woodpecker,0.2788,0.2788,1
Sedge Wren,0.286,0.286,1
Turkey Vulture,0.2889,0.2889,1
Cave Swallow,0.2941,0.2941,1
Bank Swallow,0.2988,0.996,0.3
Long-eared Owl,0.2988,0.996,0.3
Acorn Woodpecker,0.2989,0.2989,1
Ring-necked Pheasant,0.2998,0.9994,0.3
Boreal Owl,0.3,1,0.3
Common Redpoll,0.3,1,0.3
Willow Ptarmigan,0.3,1,0.3
Black-tailed Gnatcatcher,0.3007,0.3007,1
Burrowing Owl,0.3124,0.3124,1
Long-billed Thrasher,0.3226,0.3226,1
Inca Dove,0.3277,0.3277,1
Cassin's Kingbird,0.3477,0.3477,1
Black Swift,0.3569,0.3569,1
Ladder-backed Woodpecker,0.3601,0.3601,1
Curve-billed Thrasher,0.3607,0.3607,1
