"Prov","cn","Aou","BCR","n.routes","mean.PopEst","med.PopEst","Coeff.var","LCI80.PopEst","UCI80.PopEst","LCI95.PopEst","UCI95.PopEst","rounded.mean.PopEst","rounded.med.PopEst","rounded.LCI80.PopEst","rounded.UCI80.PopEst","rounded.LCI95.PopEst","rounded.UCI95.PopEst","st_abrev"
2,"Blue-gray Gnatcatcher",7510,29,4,898554.63,803285.5,0.523411000497226,419334,1459247,371858.675,2020621.4,899000,803000,419000,1460000,372000,2020000,"AL"
2,"Yellow-throated Vireo",6280,28,20,85890.25,81831.5,0.258833501574343,60357.8,115647.8,45126.325,126311.825,85900,81800,60400,116000,45100,126000,"AL"
2,"Scarlet Tanager",6080,29,4,2401.15,2227.5,0.457469776432835,1137.9,3778.6,810.325,4814.74999999999,2400,2230,1140,3780,810,4810,"AL"
2,"Lark Sparrow",5520,24,5,3681.62,3598,0.533795879428891,947.6,6296.6,363.95,7942.525,3680,3600,948,6300,364,7940,"AL"
2,"House Finch",5190,29,4,4467.67,4022,0.416710659510452,2611.5,6957.7,1961.95,8145.875,4470,4020,2610,6960,1960,8150,"AL"
2,"Loggerhead Shrike",6220,28,20,7527.06,6975.5,0.479977385320266,3701.9,12428.1,2214.475,16382.675,7530,6980,3700,12400,2210,16400,"AL"
2,"Brown-headed Cowbird",4950,27,52,510107.42,505532.5,0.188849200704902,398169.4,634756.7,355468.925,695646.775,510000,506000,398000,635000,355000,696000,"AL"
2,"Northern Bobwhite",2890,24,5,7843.43,7394.5,0.467315375852928,3488.9,12545.7,2626.925,14495.75,7840,7390,3490,12500,2630,14500,"AL"
2,"Common Ground-Dove",3200,27,52,64063.96,60260,0.323624484702605,40782.2,97063,30245.75,106914.675,64100,60300,40800,97100,30200,107000,"AL"
2,"Blue-gray Gnatcatcher",7510,28,20,3770795.26,3237719,0.486897493790849,1885789.1,6556357.7,1630818.85,8178083.475,3770000,3240000,1890000,6560000,1630000,8180000,"AL"
2,"Scarlet Tanager",6080,24,5,3095.83,2844,0.508016561294424,1286.2,5033.9,941.8,6922.34999999999,3100,2840,1290,5030,942,6920,"AL"
2,"Song Sparrow",5810,24,5,38791.68,37806,0.780356582697745,2736.6,76513,0,101817.825,38800,37800,2740,76500,0,102000,"AL"
2,"Yellow-throated Vireo",6280,29,4,21613.31,21299.5,0.327566151981716,13414.2,30868.6,9076.1,35228.925,21600,21300,13400,30900,9080,35200,"AL"
2,"Brown-headed Cowbird",4950,28,20,252630.44,252880,0.212024051490752,185937.7,322429.7,156427.85,363941.35,253000,253000,186000,322000,156000,364000,"AL"
2,"Black-throated Green Warbler",6670,28,20,10885.12,9272.5,0.629921291864165,3610.6,22110.5,1458,26672.475,10900,9270,3610,22100,1460,26700,"AL"
2,"Song Sparrow",5810,27,52,4225.6,2843,1.2008891498394,0,11736.9,0,17302.425,4230,2840,0,11700,0,17300,"AL"
2,"American Kestrel",3600,28,20,3575.41,3366,0.563941889853354,1442.7,6151.1,328.3,9008.95,3580,3370,1440,6150,328,9010,"AL"
2,"Eastern Bluebird",7660,27,52,606288.1,583537.5,0.213476790568071,447174.2,797737.5,406496.625,870763.025,606000,584000,447000,798000,406000,871000,"AL"
