"Prov","cn","Aou","mean.PopEst","med.PopEst","Coeff.var","LCI80.PopEst","UCI80.PopEst","LCI95.PopEst","UCI95.PopEst","rounded.mean.PopEst","rounded.med.PopEst","rounded.LCI80.PopEst","rounded.UCI80.PopEst","rounded.LCI95.PopEst","rounded.UCI95.PopEst","st_abrev"
"11","Ruffed Grouse",3000,577499.09,538187.5,0.305061573346263,383930.6,808446.4,327222.075,970831.25,577000,538000,384000,808000,327000,971000,"BC"
"11","Baltimore Oriole",5070,12140.37,12293.5,0.376102272270491,5691.1,18205.6,4350.15,20696.85,12100,12300,5690,18200,4350,20700,"BC"
"11","Hammond's Flycatcher",4680,12001136.19,11747856.5,0.160380302714417,9871841.4,14694248.1,8461056.825,15753585.325,1.2e+07,11700000,9870000,14700000,8460000,15800000,"BC"
"11","Sage Thrasher",7020,466.57,355.5,1.07549813825924,0,1127.1,0,1536.925,467,356,0,1130,0,1540,"BC"
"11","Pacific-slope Flycatcher",4641,3212128.28,3100152.5,0.228098783008412,2426768.9,4177951.7,1915695.4,4728627.3,3210000,3100000,2430000,4180000,1920000,4730000,"BC"
"11","Veery",7560,742889.42,696457.5,0.346397306247807,442631.1,1046816.1,382546.525,1326582.775,743000,696000,443000,1050000,383000,1330000,"BC"
"11","American Dipper",7010,8734.43,7751,0.523976885443829,3367,14460.3,2180.925,19923.275,8730,7750,3370,14500,2180,19900,"BC"
"11","White-winged Crossbill",5220,1684912.29,1650933,0.339135917151202,937416.9,2363756,697610.425,3000719.675,1680000,1650000,937000,2360000,698000,3e+06,"BC"
"11","Yellow-headed Blackbird",4970,75225.03,73148,0.469942470087289,31112,117655.8,19684.025,155731.25,75200,73100,31100,118000,19700,156000,"BC"
"11","European Starling",4930,3135576.51,3139798,0.290768998097293,2000328.9,4330640.9,1721081.875,4996277.4,3140000,3140000,2e+06,4330000,1720000,5e+06,"BC"
"11","Barn Swallow",6130,759657.18,746517.5,0.323642165964728,498307.1,961375.2,397021.425,1364729.2,760000,747000,498000,961000,397000,1360000,"BC"
"11","Willow Flycatcher",4660,2577747.34,2616793.5,0.165261551439747,2033625.1,3016647.3,1853341.675,3546557.85,2580000,2620000,2030000,3020000,1850000,3550000,"BC"
"11","American Redstart",6870,8746947.47,8599517,0.206160280604145,6366781.3,11254273.7,5811220.225,12281631.2,8750000,8600000,6370000,11300000,5810000,12300000,"BC"
"11","Yellow-bellied Sapsucker",4020,786217.45,736176.5,0.252098505016845,572348.3,1083215,535179.4,1237668.175,786000,736000,572000,1080000,535000,1240000,"BC"
