"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","availability","edr"
"Gray Partridge",2881,10229909.8,10211690,8387678,11898775,7761740.25,13143240.75,1022990.98,1021169,838767.8,1189877.5,776174.025,1314324.075,1022990.98,1021169,838767.8,1189877.5,776174.025,1314324.075,10200000,10200000,8390000,11900000,7760000,13100000,1020000,1020000,839000,1190000,776000,1310000,1020000,1020000,839000,1190000,776000,1310000,2,2,2,2,2,TRUE,FALSE
"Chukar",2882,7519693,7479530,5192136,9791328,4476438.5,10773271,375984.65,373976.5,259606.8,489566.4,223821.925,538663.55,375984.65,373976.5,259606.8,489566.4,223821.925,538663.55,7520000,7480000,5190000,9790000,4480000,10800000,376000,374000,260000,490000,224000,539000,376000,374000,260000,490000,224000,539000,2,2,2,3,2,TRUE,TRUE
"Northern Bobwhite",2890,30687084.2335939,30792107.9128169,29181946.2212746,31933150.2013741,28454414.5048567,32549769.1601516,30687084.2335939,30792107.9128169,29181946.2212746,31933150.2013741,28454414.5048567,32549769.1601516,25906036.51,25994697.5,24635399,26957965.4,24021216.725,27478515.125,30700000,30800000,29200000,31900000,28500000,32500000,30700000,30800000,29200000,31900000,28500000,32500000,25900000,2.6e+07,24600000,2.7e+07,2.4e+07,27500000,2,2,2,2,2,TRUE,TRUE
"Mountain Quail",2920,560463.901018923,561470.679975047,445956.851736328,678917.030567686,408218.392597214,753281.581409856,560463.901018923,561470.679975047,445956.851736328,678917.030567686,408218.392597214,753281.581409856,539054.18,540022.5,428921.3,652982.4,392624.45,724506.225,560000,561000,446000,679000,408000,753000,560000,561000,446000,679000,408000,753000,539000,540000,429000,653000,393000,725000,3,4,3,4,3,TRUE,TRUE
"Scaled Quail",2930,4579051.01575456,4420304.72636816,3682128.10945274,5742295.1907131,3322011.19402985,6400297.3155058,4579051.01575456,4420304.72636816,3682128.10945274,5742295.1907131,3322011.19402985,6400297.3155058,2208934.21,2132355,1776258.6,2770083.2,1602538.2,3087503.425,4580000,4420000,3680000,5740000,3320000,6400000,4580000,4420000,3680000,5740000,3320000,6400000,2210000,2130000,1780000,2770000,1600000,3090000,3,3,2,3,2,TRUE,TRUE
"California Quail",2940,19319996.5619523,19069633.949036,15219054.7391128,23816294.7283268,14073140.4543616,25460297.9304301,19319996.5619523,19069633.949036,15219054.7391128,23816294.7283268,14073140.4543616,25460297.9304301,14329641.45,14143947.5,11287972.9,17664545.8,10438048.275,18883902.975,19300000,19100000,15200000,23800000,14100000,25500000,19300000,19100000,15200000,23800000,14100000,25500000,14300000,14100000,11300000,17700000,10400000,18900000,2,2,2,2,2,TRUE,TRUE
"Gambel's Quail",2950,5194721.04836531,5162019.72439881,4324229.93785463,6086551.74277222,3931473.08159957,6431334.06511754,5194721.04836531,5162019.72439881,4324229.93785463,6086551.74277222,3931473.08159957,6431334.06511754,3845132.52,3820927,3200795,4505265.6,2910076.375,4760473.475,5190000,5160000,4320000,6090000,3930000,6430000,5190000,5160000,4320000,6090000,3930000,6430000,3850000,3820000,3200000,4510000,2910000,4760000,2,3,2,3,2,TRUE,TRUE
"Montezuma Quail",2960,199274.277168495,193798.604187438,119353.938185444,299608.175473579,91747.5074775673,362518.444666002,199274.277168495,193798.604187438,119353.938185444,299608.175473579,91747.5074775673,362518.444666002,19987.21,19438,11971.2,30050.7,9202.275,36360.6,199000,194000,119000,3e+05,91700,363000,199000,194000,119000,3e+05,91700,363000,20000,19400,12000,30100,9200,36400,4,4,4,4,4,FALSE,FALSE
"Dusky Grouse",2970,52330.68,50365,33146.6,73784.3,27423.425,87943.375,52330.68,50365,33146.6,73784.3,27423.425,87943.375,52330.68,50365,33146.6,73784.3,27423.425,87943.375,52300,50400,33100,73800,27400,87900,52300,50400,33100,73800,27400,87900,52300,50400,33100,73800,27400,87900,4,5,4,5,4,TRUE,TRUE
"Sooty Grouse",2971,2023996.88,2012977.5,1437549.6,2716468.3,1149704,3150393.525,2023996.88,2012977.5,1437549.6,2716468.3,1149704,3150393.525,2023996.88,2012977.5,1437549.6,2716468.3,1149704,3150393.525,2020000,2010000,1440000,2720000,1150000,3150000,2020000,2010000,1440000,2720000,1150000,3150000,2020000,2010000,1440000,2720000,1150000,3150000,3,3,3,3,3,TRUE,TRUE
"Spruce Grouse",2980,767479.05,625697,354656.5,1323714,290754.925,1872373.975,767479.05,625697,354656.5,1323714,290754.925,1872373.975,767479.05,625697,354656.5,1323714,290754.925,1872373.975,767000,626000,355000,1320000,291000,1870000,767000,626000,355000,1320000,291000,1870000,767000,626000,355000,1320000,291000,1870000,3,4,3,4,3,TRUE,TRUE
"Ruffed Grouse",3000,8646343.44,8661256,7836952.4,9495934.2,7289835.625,9895912.05,8646343.44,8661256,7836952.4,9495934.2,7289835.625,9895912.05,8646343.44,8661256,7836952.4,9495934.2,7289835.625,9895912.05,8650000,8660000,7840000,9500000,7290000,9900000,8650000,8660000,7840000,9500000,7290000,9900000,8650000,8660000,7840000,9500000,7290000,9900000,2,2,2,2,2,TRUE,TRUE
"Willow Ptarmigan",3010,211747433.966667,201875171.666667,110309572,351844616.666667,74226729.1666667,419482554.416667,63524230.19,60562551.5,33092871.6,105553385,22268018.75,125844766.325,63524230.19,60562551.5,33092871.6,105553385,22268018.75,125844766.325,2.12e+08,2.02e+08,1.1e+08,3.52e+08,74200000,4.19e+08,63500000,60600000,33100000,1.06e+08,22300000,1.26e+08,63500000,60600000,33100000,1.06e+08,22300000,1.26e+08,1,1,1,1,1,TRUE,TRUE
"Rock Ptarmigan",3020,624099.46,564579,213199.4,1149572.2,132492.35,1347511.3,312049.73,282289.5,106599.7,574786.1,66246.175,673755.65,312049.73,282289.5,106599.7,574786.1,66246.175,673755.65,624000,565000,213000,1150000,132000,1350000,312000,282000,107000,575000,66200,674000,312000,282000,107000,575000,66200,674000,3,4,3,4,3,TRUE,FALSE
"Greater Prairie-Chicken",3050,89791.15,89165.5,55080.9,121759.7,48381.525,138464.2,89791.15,89165.5,55080.9,121759.7,48381.525,138464.2,89791.15,89165.5,55080.9,121759.7,48381.525,138464.2,89800,89200,55100,122000,48400,138000,89800,89200,55100,122000,48400,138000,89800,89200,55100,122000,48400,138000,4,4,4,5,4,TRUE,TRUE
"Lesser Prairie-Chicken",3070,31697.55,21113,3627.9,80043.6000000001,2028.4,122779.575,31697.55,21113,3627.9,80043.6000000001,2028.4,122779.575,31697.55,21113,3627.9,80043.6000000001,2028.4,122779.575,31700,21100,3630,80000,2030,123000,31700,21100,3630,80000,2030,123000,31700,21100,3630,80000,2030,123000,5,5,4,5,4,FALSE,FALSE
"Sharp-tailed Grouse",3080,1588395.61,1600335.5,1240243.3,1898497.3,1147335.5,2053316.9,1588395.61,1600335.5,1240243.3,1898497.3,1147335.5,2053316.9,1588395.61,1600335.5,1240243.3,1898497.3,1147335.5,2053316.9,1590000,1600000,1240000,1900000,1150000,2050000,1590000,1600000,1240000,1900000,1150000,2050000,1590000,1600000,1240000,1900000,1150000,2050000,3,3,3,3,3,TRUE,TRUE
"Gunnison Sage-Grouse",3089,4000.63,2628.5,335.2,9891.5,0,12284.375,4000.63,2628.5,335.2,9891.5,0,12284.375,4000.63,2628.5,335.2,9891.5,0,12284.375,4000,2630,335,9890,0,12300,4000,2630,335,9890,0,12300,4000,2630,335,9890,0,12300,5,5,5,5,5,FALSE,FALSE
"Greater Sage-Grouse",3090,407277.07,387686.5,243340.5,576077.1,183165.95,723378.9,407277.07,387686.5,243340.5,576077.1,183165.95,723378.9,407277.07,387686.5,243340.5,576077.1,183165.95,723378.9,407000,388000,243000,576000,183000,723000,407000,388000,243000,576000,183000,723000,407000,388000,243000,576000,183000,723000,4,4,3,4,3,TRUE,TRUE
