"Prov","cn","Aou","BCR","n.routes","mean.PopEst","med.PopEst","Coeff.var","LCI80.PopEst","UCI80.PopEst","LCI95.PopEst","UCI95.PopEst","rounded.mean.PopEst","rounded.med.PopEst","rounded.LCI80.PopEst","rounded.UCI80.PopEst","rounded.LCI95.PopEst","rounded.UCI95.PopEst","st_abrev"
2,"Blue Jay",4770,28,20,539679.81,531090,0.109524343454131,470310.9,617275.4,438262.8,650337.525,540000,531000,470000,617000,438000,650000,"AL"
2,"House Sparrow",6882,28,20,260922.29,259499,0.327200343819221,159408.3,375744.7,106042.575,408111.925,261000,259000,159000,376000,106000,408000,"AL"
2,"Yellow-throated Vireo",6280,24,5,44069.18,41193.5,0.35224256040708,26361.9,63454.2,19070.325,79040.9999999999,44100,41200,26400,63500,19100,79000,"AL"
2,"Ruby-throated Hummingbird",4280,29,4,68399.99,66473.5,0.39506500076578,34939.8,105067.2,23195.45,127427.125,68400,66500,34900,105000,23200,127000,"AL"
2,"Common Yellowthroat",6810,27,52,649269.47,645367.5,0.105776600809418,577616,726166.7,520451.675,792883.125,649000,645000,578000,726000,520000,793000,"AL"
2,"Yellow-billed Cuckoo",3870,27,52,1293763.47,1309626,0.0931396397188693,1151217.1,1447074.5,1071842.575,1501221.05,1290000,1310000,1150000,1450000,1070000,1500000,"AL"
2,"House Sparrow",6882,24,5,46689.92,45597,0.295597982501229,31780.7,63086.5,21077.325,74866.8499999999,46700,45600,31800,63100,21100,74900,"AL"
2,"Eurasian Collared-Dove",22860,24,5,4752.6,4665.5,0.512421967594261,1616.2,7984.5,874.325,8899.7,4750,4670,1620,7980,874,8900,"AL"
2,"Purple Martin",6110,29,4,136359.04,125286,0.410776963530822,70861.6,218977.6,54243.775,249452.45,136000,125000,70900,219000,54200,249000,"AL"
2,"House Sparrow",6882,29,4,1311.78,1231,0.775280881525006,0,2517.9,0,3538.05,1310,1230,0,2520,0,3540,"AL"
2,"Common Yellowthroat",6810,28,20,287938.76,286437,0.141817095063525,237158.3,330170.7,222009.8,392460.55,288000,286000,237000,330000,222000,392000,"AL"
2,"Purple Martin",6110,28,20,719031.31,700499,0.254770703646874,540998.2,958422,426247.5,1082560.875,719000,7e+05,541000,958000,426000,1080000,"AL"
2,"European Starling",4930,29,4,34599.09,33529,0.394697663256303,17296.5,50145.4,8322.975,63994.175,34600,33500,17300,50100,8320,64000,"AL"
2,"Ovenbird",6740,29,4,4070.35,3601.5,0.603310146984704,1051.1,7637.1,539.7,9310.575,4070,3600,1050,7640,540,9310,"AL"
2,"Yellow-throated Vireo",6280,29,4,69438.19,69140.5,0.299534518099488,39181.7,98245.2,36486.35,111862.4,69400,69100,39200,98200,36500,112000,"AL"
2,"Chipping Sparrow",5600,29,4,316834.88,315548,0.221307154180903,226945.3,397758,198951.225,441736.8,317000,316000,227000,398000,199000,442000,"AL"
2,"Blue-gray Gnatcatcher",7510,28,20,4434756.3,4315233,0.199008112947627,3417614.3,5486322.2,3023918.975,6082307.575,4430000,4320000,3420000,5490000,3020000,6080000,"AL"
2,"Blue-gray Gnatcatcher",7510,29,4,936084.16,930353.5,0.176917231821134,731069.7,1160343.6,627469.925,1258131.55,936000,930000,731000,1160000,627000,1260000,"AL"
2,"Gray Kingbird",4450,27,52,364.51,267,1.07417045956696,0,883,0,1206.225,365,267,0,883,0,1210,"AL"
2,"Cooper's Hawk",3330,24,5,5305.94,5004,0.463147102009247,2181.6,8304.2,1687.575,10536.575,5310,5000,2180,8300,1690,10500,"AL"
2,"Yellow-billed Cuckoo",3870,24,5,93223.94,92824,0.190702659849024,68895.2,116451.2,59346.875,127358,93200,92800,68900,116000,59300,127000,"AL"
2,"Northern Parula",6480,24,5,105325,100475.5,0.390285905154445,58947.7,163913,42815.625,187616.725,105000,1e+05,58900,164000,42800,188000,"AL"
2,"Purple Martin",6110,27,52,1790481.61,1785375.5,0.15495697462159,1459881.6,2137180.6,1314783.025,2291705.35,1790000,1790000,1460000,2140000,1310000,2290000,"AL"
2,"Eastern Bluebird",7660,28,20,1395302.23,1378279.5,0.118452150212946,1194912,1621982.2,1145138.875,1736241.95,1400000,1380000,1190000,1620000,1150000,1740000,"AL"
2,"Painted Bunting",6010,27,52,4709.25,4073.5,0.826473958223238,0,10534.4,0,13205.8,4710,4070,0,10500,0,13200,"AL"
2,"Red-tailed Hawk",3370,29,4,2254.57,2064.5,0.306309387080695,1594.2,3323,1169.825,3647.475,2250,2060,1590,3320,1170,3650,"AL"
2,"Common Yellowthroat",6810,24,5,79192.8,80800.5,0.194660441465039,58355.5,99510.6,48506.225,104013.525,79200,80800,58400,99500,48500,104000,"AL"
2,"Ovenbird",6740,27,52,3529.79,3126.5,0.751809339049176,595.9,7303.1,0,10000.275,3530,3130,596,7300,0,10000,"AL"
2,"Northern Flicker",4120,24,5,1511.99,1439.5,0.329119371557447,841.6,2146.5,736.55,2571.3,1510,1440,842,2150,737,2570,"AL"
2,"Blue Grosbeak",5970,28,20,752596.62,744656,0.210209341768199,553710.8,936310,460407.65,1118276.025,753000,745000,554000,936000,460000,1120000,"AL"
2,"Eastern Meadowlark",5010,27,52,350378.54,343122,0.207663252898216,264672.2,452390.1,224557.175,485821.525,350000,343000,265000,452000,225000,486000,"AL"
2,"Blue Grosbeak",5970,27,52,2489211.02,2486761.5,0.124958504271342,2127669.2,2855961.8,1851887.475,3114137.775,2490000,2490000,2130000,2860000,1850000,3110000,"AL"
2,"Swainson's Warbler",6380,29,4,22114.28,21793,0.654616913525868,5191.3,43643,2732.65,51983,22100,21800,5190,43600,2730,52000,"AL"
2,"Swainson's Warbler",6380,27,52,357189.09,354962,0.190858310580915,271496.8,436686.2,231606.45,496716.2,357000,355000,271000,437000,232000,497000,"AL"
2,"Red-winged Blackbird",4980,24,5,109931.27,106862,0.226766415805107,82818.8,137414.1,70890.5,157524.45,110000,107000,82800,137000,70900,158000,"AL"
2,"Red-winged Blackbird",4980,27,52,403421.94,392710.5,0.22015172306569,303248.7,508578.6,240519.125,597159.575,403000,393000,303000,509000,241000,597000,"AL"
2,"Scarlet Tanager",6080,24,5,23849.79,22892,0.351676913020815,13754.3,35633.7,8569.35,40851.9,23800,22900,13800,35600,8570,40900,"AL"
2,"Mourning Dove",3160,28,20,1322177.25,1314323.5,0.135838180052129,1103216.8,1545909.4,993933.675,1668468.65,1320000,1310000,1100000,1550000,994000,1670000,"AL"
2,"Osprey",3640,27,52,22762.04,21240,0.782246011126514,3652,48531,2818.6,57342.725,22800,21200,3650,48500,2820,57300,"AL"
2,"Indigo Bunting",5980,28,20,4920483.89,4951154,0.0877002832830545,4304526.9,5437492.7,4080238.075,5759361.3,4920000,4950000,4300000,5440000,4080000,5760000,"AL"
2,"European Starling",4930,28,20,933356.87,930339.5,0.204386243571231,675150.7,1213219.4,567565.075,1277713.3,933000,930000,675000,1210000,568000,1280000,"AL"
2,"Lark Sparrow",5520,24,5,15455.89,14398.5,0.523530473553253,6530.8,26843.3,2285.025,33857.425,15500,14400,6530,26800,2290,33900,"AL"
2,"Northern Flicker",4120,28,20,15008.96,13896,0.299936543675337,9911.6,20992.6,8589.2,25777.275,15000,13900,9910,21000,8590,25800,"AL"
2,"House Sparrow",6882,27,52,235944.77,225450.5,0.283852281275863,157790.1,315375.3,129318.225,393958.525,236000,225000,158000,315000,129000,394000,"AL"
2,"Cedar Waxwing",6190,28,20,28353.84,26035.5,0.572134145279293,11507.2,50130.5,5985.1,63869.0499999999,28400,26000,11500,50100,5990,63900,"AL"
2,"Northern Flicker",4120,27,52,23762.15,22605.5,0.27352728930538,16392.8,33023.9,13096,38032.925,23800,22600,16400,33000,13100,38000,"AL"
2,"Northern Flicker",4120,29,4,3040.12,3030,0.247087512445651,2106.7,3883.4,1815.925,4741.975,3040,3030,2110,3880,1820,4740,"AL"
2,"Swainson's Warbler",6380,28,20,63107.77,61048.5,0.483614567141947,28225.5,97645,10477.15,127262.55,63100,61000,28200,97600,10500,127000,"AL"
2,"Tree Swallow",6140,28,20,67423.56,62011.5,0.409606246759712,38093.6,102333,27998.425,130101.75,67400,62000,38100,102000,28000,130000,"AL"
2,"Blue-winged Warbler",6410,28,20,4970.96,4200,0.664394259533251,1190.2,9995.4,0,12529.225,4970,4200,1190,10000,0,12500,"AL"
2,"Yellow-throated Vireo",6280,27,52,670699.35,660529.5,0.138085121531874,549403.4,789268.1,497142.875,842799.8,671000,661000,549000,789000,497000,843000,"AL"
2,"Black Vulture",3260,27,52,674911.03,669527.5,0.20698757405507,506386.2,831945.7,433375.45,928692.825,675000,670000,506000,832000,433000,929000,"AL"
2,"Scarlet Tanager",6080,28,20,189544.45,185015.5,0.347939734414481,99919.6,286133.3,81805.25,302278.55,190000,185000,99900,286000,81800,302000,"AL"
2,"Blue-gray Gnatcatcher",7510,24,5,878698.97,862641.5,0.355459398128678,478839.9,1253187.3,392306.325,1528420.525,879000,863000,479000,1250000,392000,1530000,"AL"
2,"Northern Parula",6480,29,4,238467.06,233400.5,0.198395619391522,180075.4,303915,157208.275,330246.3,238000,233000,180000,304000,157000,330000,"AL"
2,"Scarlet Tanager",6080,29,4,16852.93,15984,0.366372062168067,9309.2,25718.3,7514.325,28906.875,16900,16000,9310,25700,7510,28900,"AL"
2,"Black Vulture",3260,29,4,37237.23,36256,0.515073356739306,11276.4,64032.4,6606.875,72378.675,37200,36300,11300,64000,6610,72400,"AL"
2,"Blue Jay",4770,24,5,71123.5,68164.5,0.266348419918742,51768.5,102255.8,39900.875,116879.075,71100,68200,51800,102000,39900,117000,"AL"
2,"Hairy Woodpecker",3930,29,4,5995.37,6059.5,0.385098030920526,3267.3,9024.7,2165.3,10485.475,6000,6060,3270,9020,2170,10500,"AL"
2,"Cooper's Hawk",3330,27,52,26341.98,25612,0.219208385520746,19927,34151.5,16105.825,37444.2,26300,25600,19900,34200,16100,37400,"AL"
2,"Red-headed Woodpecker",4060,27,52,193049.66,188678,0.175010905987704,155537.1,239506,142807.275,272755.825,193000,189000,156000,240000,143000,273000,"AL"
2,"Tree Swallow",6140,27,52,2971.41,2801.5,0.59982152109258,787.9,5311.6,246,6613.325,2970,2800,788,5310,246,6610,"AL"
2,"American Redstart",6870,27,52,127481.2,126584,0.188264471124287,94785.4,156901,85762.375,171660.025,127000,127000,94800,157000,85800,172000,"AL"
