"Prov","cn","Aou","mean.PopEst","med.PopEst","Coeff.var","LCI80.PopEst","UCI80.PopEst","LCI95.PopEst","UCI95.PopEst","rounded.mean.PopEst","rounded.med.PopEst","rounded.LCI80.PopEst","rounded.UCI80.PopEst","rounded.LCI95.PopEst","rounded.UCI95.PopEst","st_abrev"
"11","Ruffed Grouse",3000,2165167.41,2158109,0.179374187576194,1739100.7,2625579,1437416.55,3003408.525,2170000,2160000,1740000,2630000,1440000,3e+06,"BC"
"11","Baltimore Oriole",5070,53587.69,53219,0.36828081815555,26930.5,79497.8,20387.425,93622.425,53600,53200,26900,79500,20400,93600,"BC"
"11","Hammond's Flycatcher",4680,33533716.84,32979373.5,0.102047385145837,29637900.4,38078536.1,28330113.95,39796916.3,33500000,3.3e+07,29600000,38100000,28300000,39800000,"BC"
"11","Sage Thrasher",7020,551.36,406.5,1.13436249742983,0,1432.2,0,2128.075,551,406,0,1430,0,2130,"BC"
"11","Pacific-slope Flycatcher",4641,17472454.23,17331020.5,0.145107170006111,14450627,20991223.7,13447866.675,22758944.375,17500000,17300000,14500000,2.1e+07,13400000,22800000,"BC"
"11","Veery",7560,2487505.85,2424700,0.266318088529158,1710392.2,3351776.6,1412527.775,3873552.725,2490000,2420000,1710000,3350000,1410000,3870000,"BC"
"11","American Dipper",7010,132809.44,124817.5,0.562870246476466,44838.5,228049.5,14541.775,306808.575,133000,125000,44800,228000,14500,307000,"BC"
"11","White-winged Crossbill",5220,7028223.55,6941392,0.264398093899031,4718509.2,9362474.1,3577940.775,10774337.675,7030000,6940000,4720000,9360000,3580000,10800000,"BC"
"11","Yellow-headed Blackbird",4970,314644.25,292572.5,0.522668691073584,133113.2,502385.2,92700.825,668194.074999999,315000,293000,133000,502000,92700,668000,"BC"
"11","European Starling",4930,13756660.32,13840700.5,0.249135962548511,9438391.6,17560860,7934693.95,21094971.825,13800000,13800000,9440000,17600000,7930000,21100000,"BC"
"11","Barn Swallow",6130,5812589.19,5712540.5,0.239573308574204,4338530.3,7682287.9,3336842.05,8583914.45,5810000,5710000,4340000,7680000,3340000,8580000,"BC"
"11","Willow Flycatcher",4660,5663686.67,5612020.5,0.135507091170691,4676852.5,6649470.4,4341107.025,7029486.925,5660000,5610000,4680000,6650000,4340000,7030000,"BC"
"11","American Redstart",6870,28819332.47,28423131,0.166359322160608,22657365.9,35102951.9,20482859.775,38430977.425,28800000,28400000,22700000,35100000,20500000,38400000,"BC"
"11","Yellow-bellied Sapsucker",4020,1897956.47,1869402,0.18510789589075,1471528.8,2425096.2,1263988.725,2572251.075,1900000,1870000,1470000,2430000,1260000,2570000,"BC"
"11","Red Crossbill",5210,7784737.49,7642056,0.159485400616482,6514977.9,9479990.4,5451408.05,10337040.2,7780000,7640000,6510000,9480000,5450000,10300000,"BC"
"11","Cassin's Finch",5180,487144.21,464828.5,0.424413618787585,244865.4,797211.1,187969.525,936052.625,487000,465000,245000,797000,188000,936000,"BC"
"11","Alder Flycatcher",4661,11933159.16,11859085.5,0.189111587703905,9011949.8,14873671.5,8474141.15,16939702.425,11900000,11900000,9010000,14900000,8470000,16900000,"BC"
"11","California Quail",2940,496022.6,487979,0.37529197647792,278204.1,694090,176217.975,928784.1,496000,488000,278000,694000,176000,929000,"BC"
"11","Spruce Grouse",2980,131515.91,65497.5,2.48318320302677,3805.6,216899.3,0,383482.625,132000,65500,3810,217000,0,383000,"BC"
"11","Willow Ptarmigan",3010,462657.61,343991,1.22780176329987,0,1073147.9,0,1750841.8,463000,344000,0,1070000,0,1750000,"BC"
"11","Horned Lark",4740,87339.11,75782.5,0.886883114269043,4077,195962.6,0,254202,87300,75800,4080,196000,0,254000,"BC"
"11","Lark Sparrow",5520,22990.93,22198,0.692923242604247,3076.9,47178.2,0,57593.075,23000,22200,3080,47200,0,57600,"BC"
"11","Lincoln's Sparrow",5830,24884917.57,24767917,0.118170349818808,21317606.3,28434859.3,18711257.975,31079168.6,24900000,24800000,21300000,28400000,18700000,31100000,"BC"
"11","Gray Catbird",7040,2744658.79,2648160,0.270307279048825,1938018.6,3620590.5,1652467.05,4248307.875,2740000,2650000,1940000,3620000,1650000,4250000,"BC"
"11","Black Swift",4220,81279.72,67076.5,0.667931874354363,37521.9,147481.9,28464.35,172196.075,81300,67100,37500,147000,28500,172000,"BC"
"11","Eastern Phoebe",4560,432497.65,426357.5,0.314255384094885,267163.9,597467.5,219258.875,725712.95,432000,426000,267000,597000,219000,726000,"BC"
"11","Blue-headed Vireo",6290,648506.58,633058.5,0.250837979688157,443610.8,881076.1,341370.55,986105.325,649000,633000,444000,881000,341000,986000,"BC"
"11","Vaux's Swift",4240,4575059.56,4105784,0.50065899904668,2193096.5,7338162.9,1634924.825,10210949.8,4580000,4110000,2190000,7340000,1630000,10200000,"BC"
"11","Gray Flycatcher",4691,63682.4,58230.5,0.823793636421945,4291.1,129103.7,1737.625,180654.375,63700,58200,4290,129000,1740,181000,"BC"
"11","Hermit Thrush",7590,7606977.48,7655059.5,0.228227425704069,5071775.4,9624268.2,4723985.825,11157804.65,7610000,7660000,5070000,9620000,4720000,11200000,"BC"
"11","Northern Goshawk",3340,34051.28,31466.5,0.496672996553349,15072.4,56519.3,8349.95,72403.125,34100,31500,15100,56500,8350,72400,"BC"
"11","Great Gray Owl",3700,9105.55,7141.5,1.07045577613475,0,20273.9,0,35609.7749999999,9110,7140,0,20300,0,35600,"BC"
"11","Black-billed Magpie",4750,893147.79,884539.5,0.164309688217588,702574.4,1100516.2,630854.6,1169226.125,893000,885000,703000,1100000,631000,1170000,"BC"
"11","Red-winged Blackbird",4980,6074475.43,5956485,0.15760888094807,5039983.8,7317718.6,4399357.525,8029055.44999999,6070000,5960000,5040000,7320000,4400000,8030000,"BC"
"11","Mourning Dove",3160,412569.84,380397,0.350775699729121,248278,622647.300000001,206700.925,729300.65,413000,380000,248000,623000,207000,729000,"BC"
"11","MacGillivray's Warbler",6800,23630546.82,23757948.5,0.101851607013902,20180999,26697304.1,19214441.9,28001767.925,23600000,23800000,20200000,26700000,19200000,2.8e+07,"BC"
"11","Black-backed Woodpecker",4000,255108.72,195971.5,0.888190175445035,22649.7,579273.5,10317.925,763384.949999999,255000,196000,22600,579000,10300,763000,"BC"
"11","Canyon Wren",7170,1327.95,1047.5,0.884288872226912,0,2865.7,0,3873.3,1330,1050,0,2870,0,3870,"BC"
"11","Clay-colored Sparrow",5610,7114321.18,7100475,0.156964406438575,5383888.2,8472231.8,5114961.85,9035807.825,7110000,7100000,5380000,8470000,5110000,9040000,"BC"
"11","Golden-crowned Kinglet",7480,48423771.02,48033819,0.134037630710529,41523218.2,55973780,37448127.425,62659247.075,48400000,4.8e+07,41500000,5.6e+07,37400000,62700000,"BC"
"11","Red-naped Sapsucker",4021,3305602.33,3240050,0.197784072908886,2546583.7,4366396.6,2234518.85,4685494.1,3310000,3240000,2550000,4370000,2230000,4690000,"BC"
"11","Yellow-rumped Warbler",6550,28153913.78,28358895,0.267185974088345,18490366.6,36668617.1,11587217.675,39321904.55,28200000,28400000,18500000,36700000,11600000,39300000,"BC"
"11","Nashville Warbler",6450,2723825.67,2595740.5,0.279842415457636,1913920.7,3806102.8,1462341.825,4450944.6,2720000,2600000,1910000,3810000,1460000,4450000,"BC"
