"x"
"Ruffed Grouse - Missing Polygon - 18-28"
"Ruffed Grouse - Missing Polygon - 35-23"
"Ruffed Grouse - Missing Polygon - 58-30"
"Ruffed Grouse - Missing Polygon - 59-29"
"Ruffed Grouse - Missing Polygon - 59-30"
"Ruffed Grouse - Missing Polygon - 57-7"
"Ruffed Grouse - Missing Polygon - 43-7"
"Ruffed Grouse - Missing Polygon - 43-7"
"Ruffed Grouse - Missing Polygon - 72-29"
"Mourning Dove - Missing Polygon - 18-28"
"Mourning Dove - Missing Polygon - 39-26"
"Northern Harrier - Missing Polygon - 3-5"
"Northern Harrier - Missing Polygon - 6-16"
"Northern Harrier - Missing Polygon - 18-28"
"Northern Harrier - Missing Polygon - 35-23"
"Northern Harrier - Missing Polygon - 45-8"
"Northern Harrier - Missing Polygon - 58-30"
"Northern Harrier - Missing Polygon - 59-29"
"Northern Harrier - Missing Polygon - 43-7"
"Northern Harrier - Missing Polygon - 43-7"
"Northern Harrier - Missing Polygon - 55-33"
"Northern Harrier - Missing Polygon - 67-21"
"Northern Harrier - Missing Polygon - 72-29"
"Sharp-shinned Hawk - Missing Polygon - 3-3"
"Sharp-shinned Hawk - Missing Polygon - 6-16"
"Sharp-shinned Hawk - Missing Polygon - 18-28"
"Sharp-shinned Hawk - Missing Polygon - 35-23"
"Sharp-shinned Hawk - Missing Polygon - 39-26"
"Sharp-shinned Hawk - Missing Polygon - 45-8"
"Sharp-shinned Hawk - Missing Polygon - 58-30"
"Sharp-shinned Hawk - Missing Polygon - 59-29"
"Sharp-shinned Hawk - Missing Polygon - 59-30"
"Sharp-shinned Hawk - Missing Polygon - 57-7"
"Sharp-shinned Hawk - Missing Polygon - 60-35"
"Sharp-shinned Hawk - Missing Polygon - 43-7"
"Sharp-shinned Hawk - Missing Polygon - 55-33"
"Sharp-shinned Hawk - Missing Polygon - 67-24"
"Cooper's Hawk - Missing Polygon - 6-16"
"Cooper's Hawk - Missing Polygon - 18-28"
"Cooper's Hawk - Missing Polygon - 39-26"
"Cooper's Hawk - Missing Polygon - 54-18"
"Cooper's Hawk - Missing Polygon - 55-33"
"Red-tailed Hawk - Missing Polygon - 18-28"
"Red-tailed Hawk - Missing Polygon - 39-26"
"Red-tailed Hawk - Missing Polygon - 43-7"
"Swainson's Hawk - Missing Polygon - 3-3"
"Swainson's Hawk - Missing Polygon - 14-15"
"Swainson's Hawk - Missing Polygon - 55-33"
"Swainson's Hawk - Missing Polygon - 67-21"
"Swainson's Hawk - Missing Polygon - 93-4"
"Swainson's Hawk - Missing Polygon - 93-4"
"Golden Eagle - Missing Polygon - 4-6"
"Golden Eagle - Missing Polygon - 4-6"
"Golden Eagle - Missing Polygon - 3-2"
"Golden Eagle - Missing Polygon - 3-5"
"Golden Eagle - Missing Polygon - 45-8"
"Golden Eagle - Missing Polygon - 54-19"
"Golden Eagle - Missing Polygon - 54-18"
"Golden Eagle - Missing Polygon - 57-7"
"Golden Eagle - Missing Polygon - 43-7"
"Golden Eagle - Missing Polygon - 43-7"
"Golden Eagle - Missing Polygon - 93-4"
"Golden Eagle - Missing Polygon - 93-4"
"Bald Eagle - Missing Polygon - 3-3"
"Bald Eagle - Missing Polygon - 57-7"
"Bald Eagle - Missing Polygon - 43-7"
"Merlin - Missing Polygon - 3-3"
"Merlin - Missing Polygon - 57-7"
"Merlin - Missing Polygon - 43-7"
"Merlin - Missing Polygon - 43-7"
"American Kestrel - Missing Polygon - 18-28"
"American Kestrel - Missing Polygon - 39-26"
"American Kestrel - Missing Polygon - 58-30"
"American Kestrel - Missing Polygon - 55-33"
"American Kestrel - Missing Polygon - 67-24"
"Osprey - Missing Polygon - 3-5"
"Osprey - Missing Polygon - 3-3"
"Osprey - Missing Polygon - 18-28"
"Osprey - Missing Polygon - 59-29"
"Osprey - Missing Polygon - 43-7"
"Osprey - Missing Polygon - 43-7"
"Osprey - Missing Polygon - 93-4"
"Osprey - Missing Polygon - 93-4"
"Belted Kingfisher - Missing Polygon - 3-3"
"Belted Kingfisher - Missing Polygon - 18-28"
"Belted Kingfisher - Missing Polygon - 39-26"
"Belted Kingfisher - Missing Polygon - 42-37"
"Belted Kingfisher - Missing Polygon - 54-18"
"Belted Kingfisher - Missing Polygon - 59-30"
"Belted Kingfisher - Missing Polygon - 57-7"
"Hairy Woodpecker - Missing Polygon - 18-28"
"Hairy Woodpecker - Missing Polygon - 39-26"
"Hairy Woodpecker - Missing Polygon - 54-18"
"Hairy Woodpecker - Missing Polygon - 57-7"
"Hairy Woodpecker - Missing Polygon - 55-33"
"Downy Woodpecker - Missing Polygon - 18-28"
"Downy Woodpecker - Missing Polygon - 39-26"
"Downy Woodpecker - Missing Polygon - 57-7"
"Downy Woodpecker - Missing Polygon - 60-35"
"Downy Woodpecker - Missing Polygon - 43-7"
"Downy Woodpecker - Missing Polygon - 93-4"
"Downy Woodpecker - Missing Polygon - 93-4"
"American Three-toed Woodpecker - Missing Polygon - 3-3"
"American Three-toed Woodpecker - Missing Polygon - 33-9"
"American Three-toed Woodpecker - Missing Polygon - 43-7"
"American Three-toed Woodpecker - Missing Polygon - 43-7"
"American Three-toed Woodpecker - Missing Polygon - 55-33"
"Yellow-bellied Sapsucker - Missing Polygon - 18-28"
"Yellow-bellied Sapsucker - Missing Polygon - 43-7"
"Red-naped Sapsucker - Missing Polygon - 55-33"
"Pileated Woodpecker - Missing Polygon - 18-28"
"Pileated Woodpecker - Missing Polygon - 39-26"
"Northern Flicker - Missing Polygon - 3-3"
