"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","availability","edr"
"Gray Partridge",2881,9793957.9,9744010,8520708,11351326,8177635.5,11752157,979395.79,974401,852070.8,1135132.6,817763.55,1175215.7,979395.79,974401,852070.8,1135132.6,817763.55,1175215.7,9790000,9740000,8520000,11400000,8180000,11800000,979000,974000,852000,1140000,818000,1180000,979000,974000,852000,1140000,818000,1180000,2,2,2,2,2,TRUE,FALSE
"Chukar",2882,6913252,7111260,5056876,8597092,4457602.5,9493794.5,345662.6,355563,252843.8,429854.6,222880.125,474689.725,345662.6,355563,252843.8,429854.6,222880.125,474689.725,6910000,7110000,5060000,8600000,4460000,9490000,346000,356000,253000,430000,223000,475000,346000,356000,253000,430000,223000,475000,2,2,2,3,2,TRUE,TRUE
"Northern Bobwhite",2890,30054723.4423123,29930383.7953092,28267045.7237621,31918599.0286662,27226828.8024165,32565458.6590855,30054723.4423123,29930383.7953092,28267045.7237621,31918599.0286662,27226828.8024165,32565458.6590855,25372197.53,25267230,23863040,26945681.3,22984888.875,27491760.2,30100000,29900000,28300000,31900000,27200000,32600000,30100000,29900000,28300000,31900000,27200000,32600000,25400000,25300000,23900000,26900000,2.3e+07,27500000,2,2,2,2,2,TRUE,TRUE
"Mountain Quail",2920,561954.637138698,566587.648159701,427900.914951133,676163.755458515,394197.702224995,704389.478061967,561954.637138698,566587.648159701,427900.914951133,676163.755458515,394197.702224995,704389.478061967,540487.97,544944,411555.1,650334.3,379139.35,677481.8,562000,567000,428000,676000,394000,704000,562000,567000,428000,676000,394000,704000,540000,545000,412000,650000,379000,677000,3,4,3,4,3,TRUE,TRUE
"Scaled Quail",2930,4635717.33001658,4586232.37976783,3724358.20895522,5448940.71310116,3396543.37686567,6486787.20978441,4635717.33001658,4586232.37976783,3724358.20895522,5448940.71310116,3396543.37686567,6486787.20978441,2236270.04,2212398.5,1796630.4,2628569,1638492.525,3129226.15,4640000,4590000,3720000,5450000,3400000,6490000,4640000,4590000,3720000,5450000,3400000,6490000,2240000,2210000,1800000,2630000,1640000,3130000,3,3,2,3,2,TRUE,TRUE
"California Quail",2940,19729859.484967,19273678.7110692,16608118.646353,23448594.7148443,15211800.8628826,26244608.3659161,19729859.484967,19273678.7110692,16608118.646353,23448594.7148443,15211800.8628826,26244608.3659161,14633636.78,14295287.5,12318241.6,17391822.7,11282592.7,19465626.025,19700000,19300000,16600000,23400000,15200000,26200000,19700000,19300000,16600000,23400000,15200000,26200000,14600000,14300000,12300000,17400000,11300000,19500000,2,2,2,2,2,TRUE,TRUE
"Gambel's Quail",2950,5591886.27398001,5517571.60226966,4721056.06592813,6438518.91380708,4392628.74898676,6865220.81869765,5591886.27398001,5517571.60226966,4721056.06592813,6438518.91380708,4392628.74898676,6865220.81869765,4139114.22,4084106.5,3494525.7,4765791.7,3251423.8,5081636.45,5590000,5520000,4720000,6440000,4390000,6870000,5590000,5520000,4720000,6440000,4390000,6870000,4140000,4080000,3490000,4770000,3250000,5080000,2,3,2,3,2,TRUE,TRUE
"Montezuma Quail",2960,186358.025922233,186231.306081755,109150.548354935,257512.462612164,83400.5483549352,328593.968095713,186358.025922233,186231.306081755,109150.548354935,257512.462612164,83400.5483549352,328593.968095713,18691.71,18679,10947.8,25828.5,8365.075,32957.975,186000,186000,109000,258000,83400,329000,186000,186000,109000,258000,83400,329000,18700,18700,10900,25800,8370,33000,4,4,4,4,4,FALSE,FALSE
"Dusky Grouse",2970,85496.15,70916,41346.1,138713.7,31917.775,182062.7,85496.15,70916,41346.1,138713.7,31917.775,182062.7,85496.15,70916,41346.1,138713.7,31917.775,182062.7,85500,70900,41300,139000,31900,182000,85500,70900,41300,139000,31900,182000,85500,70900,41300,139000,31900,182000,4,5,4,5,4,TRUE,TRUE
"Sooty Grouse",2971,2097399.58,2080068,1432829.6,2728681.1,1156918.625,3296882.175,2097399.58,2080068,1432829.6,2728681.1,1156918.625,3296882.175,2097399.58,2080068,1432829.6,2728681.1,1156918.625,3296882.175,2100000,2080000,1430000,2730000,1160000,3300000,2100000,2080000,1430000,2730000,1160000,3300000,2100000,2080000,1430000,2730000,1160000,3300000,3,3,3,3,3,TRUE,TRUE
"Spruce Grouse",2980,630675.57,554126.5,340881.2,1069692.2,291827.55,1313616.375,630675.57,554126.5,340881.2,1069692.2,291827.55,1313616.375,630675.57,554126.5,340881.2,1069692.2,291827.55,1313616.375,631000,554000,341000,1070000,292000,1310000,631000,554000,341000,1070000,292000,1310000,631000,554000,341000,1070000,292000,1310000,3,4,3,4,3,TRUE,TRUE
"Ruffed Grouse",3000,8283511.75,8304904.5,7431806.4,9188597.2,7146596.825,9698088.825,8283511.75,8304904.5,7431806.4,9188597.2,7146596.825,9698088.825,8283511.75,8304904.5,7431806.4,9188597.2,7146596.825,9698088.825,8280000,8300000,7430000,9190000,7150000,9700000,8280000,8300000,7430000,9190000,7150000,9700000,8280000,8300000,7430000,9190000,7150000,9700000,2,2,2,2,2,TRUE,TRUE
"Willow Ptarmigan",3010,232686039.566667,207196443.333333,127927499.666667,390217590.666667,96719109,504413680.666667,69805811.87,62158933,38378249.9,117065277.2,29015732.7,151324104.2,69805811.87,62158933,38378249.9,117065277.2,29015732.7,151324104.2,2.33e+08,2.07e+08,1.28e+08,3.9e+08,96700000,5.04e+08,69800000,62200000,38400000,1.17e+08,2.9e+07,1.51e+08,69800000,62200000,38400000,1.17e+08,2.9e+07,1.51e+08,1,1,1,1,1,TRUE,TRUE
"Rock Ptarmigan",3020,752945.76,742854,274677.8,1247149.4,198449.6,1462869,376472.88,371427,137338.9,623574.7,99224.8,731434.5,376472.88,371427,137338.9,623574.7,99224.8,731434.5,753000,743000,275000,1250000,198000,1460000,376000,371000,137000,624000,99200,731000,376000,371000,137000,624000,99200,731000,3,4,3,4,3,TRUE,FALSE
"Greater Prairie-Chicken",3050,84546.64,81213.5,62245.5,112717,53109.325,134294.9,84546.64,81213.5,62245.5,112717,53109.325,134294.9,84546.64,81213.5,62245.5,112717,53109.325,134294.9,84500,81200,62200,113000,53100,134000,84500,81200,62200,113000,53100,134000,84500,81200,62200,113000,53100,134000,4,4,4,4,4,TRUE,TRUE
"Lesser Prairie-Chicken",3070,28627.6,18934.5,4587.2,69556.2,2128.975,83821.575,28627.6,18934.5,4587.2,69556.2,2128.975,83821.575,28627.6,18934.5,4587.2,69556.2,2128.975,83821.575,28600,18900,4590,69600,2130,83800,28600,18900,4590,69600,2130,83800,28600,18900,4590,69600,2130,83800,5,5,4,5,4,FALSE,FALSE
"Sharp-tailed Grouse",3080,1502050.97,1505157.5,1306396.3,1738225,1141607.825,1838062.45,1502050.97,1505157.5,1306396.3,1738225,1141607.825,1838062.45,1502050.97,1505157.5,1306396.3,1738225,1141607.825,1838062.45,1500000,1510000,1310000,1740000,1140000,1840000,1500000,1510000,1310000,1740000,1140000,1840000,1500000,1510000,1310000,1740000,1140000,1840000,3,3,3,3,3,TRUE,TRUE
"Gunnison Sage-Grouse",3089,5822.54,5345,328.5,11698.9,0,16549.55,5822.54,5345,328.5,11698.9,0,16549.55,5822.54,5345,328.5,11698.9,0,16549.55,5820,5340,328,11700,0,16500,5820,5340,328,11700,0,16500,5820,5340,328,11700,0,16500,5,5,5,5,5,FALSE,FALSE
"Greater Sage-Grouse",3090,447813.76,427496,274359.3,628340.1,232187.175,704273.75,447813.76,427496,274359.3,628340.1,232187.175,704273.75,447813.76,427496,274359.3,628340.1,232187.175,704273.75,448000,427000,274000,628000,232000,704000,448000,427000,274000,628000,232000,704000,448000,427000,274000,628000,232000,704000,4,4,3,4,3,TRUE,TRUE
