"Prov","cn","Aou","BCR","n.routes","mean.PopEst","med.PopEst","Coeff.var","LCI80.PopEst","UCI80.PopEst","LCI95.PopEst","UCI95.PopEst","rounded.mean.PopEst","rounded.med.PopEst","rounded.LCI80.PopEst","rounded.UCI80.PopEst","rounded.LCI95.PopEst","rounded.UCI95.PopEst","st_abrev"
2,"Louisiana Waterthrush",6760,24,6,21803.15,21469.5,0.627511334750486,5183.9,38551.7,0,54057.05,21800,21500,5180,38600,0,54100,"AL"
2,"Louisiana Waterthrush",6760,29,5,34676.95,31939,0.366819378176442,19877.2,53306,14387.425,62266.375,34700,31900,19900,53300,14400,62300,"AL"
2,"Worm-eating Warbler",6390,29,5,9987.74,9188,0.55039973003464,3659.5,17634.9,1282.575,20834.65,9990,9190,3660,17600,1280,20800,"AL"
2,"Northern Cardinal",5930,28,21,5624290.39,5585192.5,0.0839754764510356,5011790.5,6184480.7,4840515.125,6653504.6,5620000,5590000,5010000,6180000,4840000,6650000,"AL"
2,"American Kestrel",3600,28,21,19732.92,18520,0.495588942000292,8133.3,31214,2597.65,41120.575,19700,18500,8130,31200,2600,41100,"AL"
2,"Red-tailed Hawk",3370,28,21,22746.1,22327.5,0.195675627764253,17131.5,28922.9,15467.9,31801.225,22700,22300,17100,28900,15500,31800,"AL"
2,"Pine Warbler",6710,24,6,158349.41,151359.5,0.33519633731914,96037.2,241384.8,65270.3,269633.225,158000,151000,96000,241000,65300,270000,"AL"
2,"Eastern Phoebe",4560,29,5,173412.79,169848,0.22511777379552,128816,218043.1,98974.7,257402.95,173000,170000,129000,218000,99000,257000,"AL"
2,"Brown-headed Cowbird",4950,27,57,2995417.54,2911690,0.130706780959518,2547123.1,3599381.6,2374282.075,3797843.925,3e+06,2910000,2550000,3600000,2370000,3800000,"AL"
2,"Carolina Chickadee",7360,27,57,5952602.74,5931693,0.153105249857401,4808920.3,6940767.2,4459966.625,7767390.525,5950000,5930000,4810000,6940000,4460000,7770000,"AL"
2,"Swallow-tailed Kite",3270,27,57,1219.12,1128.5,0.493987234153687,537.2,2057.5,371.9,2589.275,1220,1130,537,2060,372,2590,"AL"
2,"Downy Woodpecker",3940,24,6,172905.97,171659.5,0.213533498945952,124064.6,224531.8,107736.375,235609.125,173000,172000,124000,225000,108000,236000,"AL"
2,"Northern Cardinal",5930,29,5,730474.23,726004,0.146177505577819,597999.3,874029.9,543207.2,914753,730000,726000,598000,874000,543000,915000,"AL"
2,"Yellow-throated Vireo",6280,24,6,59433.88,58050,0.501901597899802,21560.5,97164.5,9265.975,113520.625,59400,58000,21600,97200,9270,114000,"AL"
2,"American Kestrel",3600,27,57,1484.51,1109.5,0.988600465112711,0,3455.8,0,4319.85,1480,1110,0,3460,0,4320,"AL"
2,"Black-and-white Warbler",6360,28,21,172628.6,168457.5,0.300902786950723,105197.1,241921.1,77703.15,271027,173000,168000,105000,242000,77700,271000,"AL"
2,"Hooded Warbler",6840,24,6,33527.23,32163.5,0.786032009305423,0,68265,0,87039.75,33500,32200,0,68300,0,87000,"AL"
2,"Northern Rough-winged Swallow",6170,24,6,382372.83,362104,0.496329311012375,146895.5,601964,114166.475,745036.1,382000,362000,147000,602000,114000,745000,"AL"
2,"Red-winged Blackbird",4980,29,5,17912.7,15654,0.453461357309915,9765.3,28927.9,6026.6,35327.425,17900,15700,9770,28900,6030,35300,"AL"
2,"Brown-headed Cowbird",4950,24,6,499118.54,492481.5,0.168507593439339,399278,611571.8,354058.15,669442.275,499000,492000,399000,612000,354000,669000,"AL"
2,"Carolina Chickadee",7360,28,21,3648948.57,3640846,0.143716011857588,2993350.9,4363470.5,2665862.55,4735303.15,3650000,3640000,2990000,4360000,2670000,4740000,"AL"
2,"Louisiana Waterthrush",6760,27,57,253394.94,251196.5,0.242807425544255,171079,355837,151452.725,376631.025,253000,251000,171000,356000,151000,377000,"AL"
2,"Dickcissel",6040,28,21,13545.88,12341,0.643444669901904,2814.5,26238.2,1531.8,33586.375,13500,12300,2810,26200,1530,33600,"AL"
2,"Yellow-billed Cuckoo",3870,24,6,204404.55,202877.5,0.148633282453531,165601.2,242527,153626.65,263675.925,204000,203000,166000,243000,154000,264000,"AL"
2,"Scarlet Tanager",6080,24,6,30944.27,31488.5,0.400050296955265,15569,45380.6,9927.8,56342.075,30900,31500,15600,45400,9930,56300,"AL"
2,"Mourning Dove",3160,29,5,176920.65,175551,0.125605380213088,148207.4,201911.2,137216.1,215792.675,177000,176000,148000,202000,137000,216000,"AL"
2,"Eastern Kingbird",4440,28,21,615622.36,605577,0.167693299169202,494180.3,745591.2,430269.15,845363.75,616000,606000,494000,746000,430000,845000,"AL"
2,"American Robin",7610,24,6,285419.95,282996,0.188229051949453,222871.1,349082,187953.625,402230.7,285000,283000,223000,349000,188000,402000,"AL"
2,"Worm-eating Warbler",6390,24,6,7712.82,7363,0.714996064793341,1568,15543.3,0,20957.775,7710,7360,1570,15500,0,21000,"AL"
2,"Eastern Wood-Pewee",4610,29,5,46630.55,46286,0.184496467707873,35794.8,57885.9,30243.3,60617.975,46600,46300,35800,57900,30200,60600,"AL"
2,"Blue-gray Gnatcatcher",7510,27,57,11814668.26,11890747,0.123440622599552,10029583.8,13771877.3,9393721.05,15026068.55,11800000,11900000,1e+07,13800000,9390000,1.5e+07,"AL"
2,"Great Horned Owl",3750,27,57,18085.55,17344.5,0.314137480351365,11797.2,25147.3,8512.225,31371.275,18100,17300,11800,25100,8510,31400,"AL"
2,"Northern Rough-winged Swallow",6170,27,57,1437201.09,1370905,0.222721539764947,1069695.9,1901974.1,954017.475,2069547.375,1440000,1370000,1070000,1900000,954000,2070000,"AL"
2,"Eastern Phoebe",4560,27,57,930956.59,923099,0.142174242035954,762224.3,1138572.6,686804.25,1168818.55,931000,923000,762000,1140000,687000,1170000,"AL"
2,"Indigo Bunting",5980,24,6,2066194.47,2055644,0.0899232457002933,1854896.8,2301310.7,1720159.925,2438130.55,2070000,2060000,1850000,2300000,1720000,2440000,"AL"
2,"Worm-eating Warbler",6390,28,21,409983.32,393825.5,0.287024519629656,276819.3,576080.5,222545.8,681513.8,410000,394000,277000,576000,223000,682000,"AL"
2,"Northern Cardinal",5930,24,6,1460344.16,1454998.5,0.0972410939727548,1300948.5,1651672.5,1223242.775,1738077.15,1460000,1450000,1300000,1650000,1220000,1740000,"AL"
2,"Eastern Whip-poor-will",4171,27,57,4962.84,3944.5,0.657777448147099,1682.4,9848.1,588.275,13196.4,4960,3940,1680,9850,588,13200,"AL"
2,"House Finch",5190,28,21,664104.41,661481,0.174844521004208,501846.3,832356.5,450937.175,883481,664000,661000,502000,832000,451000,883000,"AL"
2,"Louisiana Waterthrush",6760,28,21,180987.93,183478,0.276382437532024,119207,239038.7,104679.3,289638.425,181000,183000,119000,239000,105000,290000,"AL"
2,"Black Vulture",3260,29,5,33687.08,30972.5,0.510972016861991,13863.4,56894.5,6982.725,75536.3499999999,33700,31000,13900,56900,6980,75500,"AL"
2,"Red-winged Blackbird",4980,24,6,164909.1,163438.5,0.227973842694292,120290,218433.6,96785.025,242117.95,165000,163000,120000,218000,96800,242000,"AL"
2,"American Robin",7610,28,21,938496,912723.5,0.175047400179059,745483.2,1137196.8,689394.275,1299830.525,938000,913000,745000,1140000,689000,1300000,"AL"
2,"Common Ground-Dove",3200,29,5,414.79,404,0.718102043306669,108.3,729.000000000001,0,1175.1,415,404,108,729,0,1180,"AL"
2,"Brown-headed Cowbird",4950,28,21,1450399.07,1441179,0.124683216893201,1210907.7,1689767.8,1052067.3,1792085.125,1450000,1440000,1210000,1690000,1050000,1790000,"AL"
