"Prov","cn","Aou","mean.PopEst","med.PopEst","Coeff.var","LCI80.PopEst","UCI80.PopEst","LCI95.PopEst","UCI95.PopEst","rounded.mean.PopEst","rounded.med.PopEst","rounded.LCI80.PopEst","rounded.UCI80.PopEst","rounded.LCI95.PopEst","rounded.UCI95.PopEst","st_abrev"
"11","Ruffed Grouse",3000,2210400.54,2190753.5,0.196661392817026,1722456.4,2712310.5,1542086.35,3173935.25,2210000,2190000,1720000,2710000,1540000,3170000,"BC"
"11","Baltimore Oriole",5070,58947.27,60599.5,0.359743505535514,33514.6,85963.5,25523.8,94860.025,58900,60600,33500,86000,25500,94900,"BC"
"11","Hammond's Flycatcher",4680,32240713.27,31874244,0.107074710018625,28431968.4,36372564.2,25171007.975,38951613.25,32200000,31900000,28400000,36400000,25200000,3.9e+07,"BC"
"11","Sage Thrasher",7020,436.68,407.5,0.997614650208348,0,1023.4,0,1527.425,437,408,0,1020,0,1530,"BC"
"11","Pacific-slope Flycatcher",4641,16976199.89,17184620,0.175382449853682,13125752.8,20653826.6,11969724.775,23067200.2,1.7e+07,17200000,13100000,20700000,1.2e+07,23100000,"BC"
"11","Veery",7560,2317349.8,2290371.5,0.239520257431961,1575668.8,3010920.6,1390345.7,3360719.125,2320000,2290000,1580000,3010000,1390000,3360000,"BC"
"11","American Dipper",7010,114931.64,97297.5,0.618712249156186,29605.1,200991.8,13037.5,256165.3,115000,97300,29600,201000,13000,256000,"BC"
"11","White-winged Crossbill",5220,6934163.66,6854987,0.331753195428772,4398722.9,9938935.80000001,3145378.85,11143211,6930000,6850000,4400000,9940000,3150000,11100000,"BC"
"11","Yellow-headed Blackbird",4970,341501.29,336523,0.406950288739024,173065.8,502199,92090.125,645697.349999999,342000,337000,173000,502000,92100,646000,"BC"
"11","European Starling",4930,14146074.76,13910836,0.230615828284535,10055425,18237519.4,8824259.95,22121499.575,14100000,13900000,10100000,18200000,8820000,22100000,"BC"
"11","Barn Swallow",6130,5805367.63,5882309,0.229575760656367,4137053.1,7476230.2,3500539.225,8463970.175,5810000,5880000,4140000,7480000,3500000,8460000,"BC"
"11","Willow Flycatcher",4660,5234109.82,5269550.5,0.129448895860985,4347753.1,6156724.2,4156836.05,6544653.4,5230000,5270000,4350000,6160000,4160000,6540000,"BC"
"11","American Redstart",6870,26881968.04,26724429.5,0.170058651419266,20897587,32223940.8,18537725.1,35400745.35,26900000,26700000,20900000,32200000,18500000,35400000,"BC"
