"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","availability....ifelse.use_availability..TRUE..FALSE.","edr....ifelse.use_edr..TRUE..FALSE."
"Gray Partridge",2881,7774100.9,7765615,6792166,8945955,6158742.5,9614883.75,777410.09,776561.5,679216.6,894595.5,615874.25,961488.375,777410.09,776561.5,679216.6,894595.5,615874.25,961488.375,7770000,7770000,6790000,8950000,6160000,9610000,777000,777000,679000,895000,616000,961000,777000,777000,679000,895000,616000,961000,2,2,2,2,2,FALSE,FALSE
"Chukar",2882,6519152.2,6437750,5053674,8315216,4257663.5,9750164.5,325957.61,321887.5,252683.7,415760.8,212883.175,487508.225,325957.61,321887.5,252683.7,415760.8,212883.175,487508.225,6520000,6440000,5050000,8320000,4260000,9750000,326000,322000,253000,416000,213000,488000,326000,322000,253000,416000,213000,488000,2,2,2,3,2,FALSE,FALSE
"Northern Bobwhite",2890,20885972.9092632,20932573.4423122,18851414.3567875,22773254.7974414,18002703.6543473,23927478.1449893,20885972.9092632,20932573.4423122,18851414.3567875,22773254.7974414,18002703.6543473,23927478.1449893,17631938.33,17671278.5,15914364,19225181.7,15197882.425,20199577.05,20900000,20900000,18900000,22800000,1.8e+07,23900000,20900000,20900000,18900000,22800000,1.8e+07,23900000,17600000,17700000,15900000,19200000,15200000,20200000,2,2,2,2,2,FALSE,FALSE
"Mountain Quail",2920,252388.916614681,244079.330422125,188108.754418798,327905.177791641,173365.044707839,365521.366188397,252388.916614681,244079.330422125,188108.754418798,327905.177791641,173365.044707839,365521.366188397,242747.66,234755.5,180923,315379.2,166742.5,351558.45,252000,244000,188000,328000,173000,366000,252000,244000,188000,328000,173000,366000,243000,235000,181000,315000,167000,352000,4,4,4,4,4,FALSE,FALSE
"Scaled Quail",2930,7101487.14759536,7200182.4212272,5581071.31011609,8824326.49253731,5223680.97014925,9269432.52487562,7101487.14759536,7200182.4212272,5581071.31011609,8824326.49253731,5223680.97014925,9269432.52487562,3425757.4,3473368,2692308.8,4256855.1,2519903.7,4471574.25,7100000,7200000,5580000,8820000,5220000,9270000,7100000,7200000,5580000,8820000,5220000,9270000,3430000,3470000,2690000,4260000,2520000,4470000,2,2,2,2,2,FALSE,FALSE
"California Quail",2940,4303337.77807739,4226582.17608197,3302722.66414993,5273652.68976675,2965096.9394634,5972285.42537414,4303337.77807739,4226582.17608197,3302722.66414993,5273652.68976675,2965096.9394634,5972285.42537414,3191785.63,3134856,2449629.4,3911468.2,2199212.4,4429644.1,4300000,4230000,3300000,5270000,2970000,5970000,4300000,4230000,3300000,5270000,2970000,5970000,3190000,3130000,2450000,3910000,2200000,4430000,3,3,2,3,2,FALSE,FALSE
"Gambel's Quail",2950,7177717.0494461,7157490.54309646,5772440.82680357,8571882.46419887,5034539.98919211,9380972.84517698,7177717.0494461,7157490.54309646,5772440.82680357,8571882.46419887,5034539.98919211,9380972.84517698,5312946.16,5297974.5,4272760.7,6344907.4,3726566.5,6943796.1,7180000,7160000,5770000,8570000,5030000,9380000,7180000,7160000,5770000,8570000,5030000,9380000,5310000,5300000,4270000,6340000,3730000,6940000,2,2,2,2,2,FALSE,FALSE
"Montezuma Quail",2960,190411.166500499,177068.793619143,128273.180458624,265986.041874377,85156.0319042871,310746.759720837,190411.166500499,177068.793619143,128273.180458624,265986.041874377,85156.0319042871,310746.759720837,19098.24,17760,12865.8,26678.4,8541.15,31167.9,190000,177000,128000,266000,85200,311000,190000,177000,128000,266000,85200,311000,19100,17800,12900,26700,8540,31200,4,4,4,4,4,FALSE,FALSE
"Dusky Grouse",2970,41124.52,36285,18574.8,68381.2,15366.325,90434.575,41124.52,36285,18574.8,68381.2,15366.325,90434.575,41124.52,36285,18574.8,68381.2,15366.325,90434.575,41100,36300,18600,68400,15400,90400,41100,36300,18600,68400,15400,90400,41100,36300,18600,68400,15400,90400,5,5,4,5,4,FALSE,FALSE
"Sooty Grouse",2971,752643.87,746234.5,480258.7,1027656.1,381567.3,1240438.25,752643.87,746234.5,480258.7,1027656.1,381567.3,1240438.25,752643.87,746234.5,480258.7,1027656.1,381567.3,1240438.25,753000,746000,480000,1030000,382000,1240000,753000,746000,480000,1030000,382000,1240000,753000,746000,480000,1030000,382000,1240000,3,4,3,4,3,FALSE,FALSE
