"Prov","cn","Aou","BCR","n.routes","mean.PopEst","med.PopEst","Coeff.var","LCI80.PopEst","UCI80.PopEst","LCI95.PopEst","UCI95.PopEst","rounded.mean.PopEst","rounded.med.PopEst","rounded.LCI80.PopEst","rounded.UCI80.PopEst","rounded.LCI95.PopEst","rounded.UCI95.PopEst","st_abrev"
2,"Louisiana Waterthrush",6760,24,6,1093.47,959.5,0.679375198111254,270.1,1989.9,0,2588.775,1090,960,270,1990,0,2590,"AL"
2,"Louisiana Waterthrush",6760,29,5,1728.7,1638.5,0.417921410917385,917.6,2709.8,735.025,3262.9,1730,1640,918,2710,735,3260,"AL"
2,"Worm-eating Warbler",6390,29,5,991.87,871,0.528923430417049,399,1798.4,264,2035.825,992,871,399,1800,264,2040,"AL"
2,"Northern Cardinal",5930,28,21,1469570.18,1369468,0.290262874953977,1008349.9,2178791.2,936771.775,2375325.825,1470000,1370000,1010000,2180000,937000,2380000,"AL"
2,"American Kestrel",3600,28,21,3317.09,2905,0.657883233274476,846.6,6211.4,267.075,7834.525,3320,2900,847,6210,267,7830,"AL"
2,"Red-tailed Hawk",3370,28,21,6213,6137.5,0.274681322468943,4327.2,8811.1,3592.075,9969.075,6210,6140,4330,8810,3590,9970,"AL"
2,"Pine Warbler",6710,24,6,23941.68,22935.5,0.41770300499912,12432.1,37819,9483.875,44219.175,23900,22900,12400,37800,9480,44200,"AL"
2,"Eastern Phoebe",4560,29,5,91164.18,84465,0.264160604092351,65454.6,125685.6,51899.15,140187.75,91200,84500,65500,126000,51900,140000,"AL"
2,"Brown-headed Cowbird",4950,27,57,496929.07,472263.5,0.215478508511986,376089.5,653545.6,336938.175,713136.15,497000,472000,376000,654000,337000,713000,"AL"
2,"Carolina Chickadee",7360,27,57,423479.81,415442.5,0.196140921641617,327567.8,546328,286299.5,575741.675,423000,415000,328000,546000,286000,576000,"AL"
2,"Swallow-tailed Kite",3270,27,57,1435.44,1335.5,0.473304171416368,668.8,2361.7,493.15,2900.975,1440,1340,669,2360,493,2900,"AL"
2,"Downy Woodpecker",3940,24,6,20017.43,19205.5,0.312268060748988,12886.2,26955.8,10980.875,34421.375,20000,19200,12900,27000,11000,34400,"AL"
2,"Northern Cardinal",5930,29,5,191448.16,190334.5,0.292011142679132,122851.3,265274.1,104649.575,314996.55,191000,190000,123000,265000,105000,315000,"AL"
2,"Yellow-throated Vireo",6280,24,6,10911.08,9761,0.500755766158879,5574.8,19211,3065.3,23676.15,10900,9760,5570,19200,3070,23700,"AL"
2,"American Kestrel",3600,27,57,251.19,159.5,1.20129750352829,0,632.300000000001,0,1033.875,251,160,0,632,0,1030,"AL"
2,"Black-and-white Warbler",6360,28,21,39884.5,38902,0.361552657726196,23765.5,54404.9,19969.875,68982.975,39900,38900,23800,54400,20000,69000,"AL"
2,"Hooded Warbler",6840,24,6,4159.28,3537,0.864290206556203,216.7,7761.7,0,12394.15,4160,3540,217,7760,0,12400,"AL"
2,"Northern Rough-winged Swallow",6170,24,6,42869.61,38541,0.540020159154118,16461,66840,10682.85,112802.075,42900,38500,16500,66800,10700,113000,"AL"
2,"Red-winged Blackbird",4980,29,5,4792.62,4211,0.621052416807932,1775.7,8599.00000000001,1304.35,12977.25,4790,4210,1780,8600,1300,13000,"AL"
2,"Brown-headed Cowbird",4950,24,6,84510.27,80999.5,0.24176988228719,62568.2,111920.1,48693.4,132148.45,84500,81000,62600,112000,48700,132000,"AL"
2,"Carolina Chickadee",7360,28,21,254816.26,252610,0.239245431566024,172720.1,335639.7,158156.35,372943.825,255000,253000,173000,336000,158000,373000,"AL"
2,"Louisiana Waterthrush",6760,27,57,11444.34,10801,0.33579495277013,7313,16965.2,6118.525,19629.85,11400,10800,7310,17000,6120,19600,"AL"
2,"Dickcissel",6040,28,21,2824.6,2552,0.58483824604285,1042.5,5166.1,544,6857.95,2820,2550,1040,5170,544,6860,"AL"
2,"Yellow-billed Cuckoo",3870,24,6,22450.25,21382.5,0.323639266956073,14125.8,33214.4,11436.025,36189.875,22500,21400,14100,33200,11400,36200,"AL"
2,"Scarlet Tanager",6080,24,6,2367.31,2152.5,0.489285415077926,1273.2,3649.8,784.95,5359.65,2370,2150,1270,3650,785,5360,"AL"
2,"Mourning Dove",3160,29,5,49151.77,46024,0.297379902118517,31885.2,71408,28095.025,80674.075,49200,46000,31900,71400,28100,80700,"AL"
2,"Eastern Kingbird",4440,28,21,143755.68,138231,0.249227509799073,99972.3,194172.1,88223.25,222744.625,144000,138000,1e+05,194000,88200,223000,"AL"
2,"American Robin",7610,24,6,93887.44,88623,0.359321683570248,57753,139728.3,50268.25,167805.725,93900,88600,57800,140000,50300,168000,"AL"
2,"Worm-eating Warbler",6390,24,6,739.13,693,0.799992554380233,0,1582.4,0,2305.875,739,693,0,1580,0,2310,"AL"
2,"Eastern Wood-Pewee",4610,29,5,8088.32,7219.5,0.330076555095505,5290.5,12201.1,4395.5,12858.175,8090,7220,5290,12200,4400,12900,"AL"
2,"Blue-gray Gnatcatcher",7510,27,57,10284003.55,8976938.5,0.463505270397428,5205401.9,17173161.6,4895329.425,20677165.825,10300000,8980000,5210000,17200000,4900000,20700000,"AL"
2,"Great Horned Owl",3750,27,57,17629.72,16842,0.367689936680025,10003.7,25770.2,6016.725,31617.65,17600,16800,10000,25800,6020,31600,"AL"
2,"Northern Rough-winged Swallow",6170,27,57,155840.33,146496.5,0.258349918721914,114351.9,213744.2,98665.025,257452.5,156000,146000,114000,214000,98700,257000,"AL"
2,"Eastern Phoebe",4560,27,57,535887.15,525404,0.228119129847357,389465.9,684680.7,336525.45,770179.325,536000,525000,389000,685000,337000,770000,"AL"
2,"Indigo Bunting",5980,24,6,427560.58,422561,0.170413469564374,340681.2,523574.3,307979.175,562027.85,428000,423000,341000,524000,308000,562000,"AL"
