Species,Scientific Name,ACAD Breeding Habitat,Migration Status,Revised population estimate,Existing population estimate,Ratio of revised/existing,EDR (revised),EDR SD (revised),EDR (existing distance),EDR lower bound (existing distance),EDR upper bound (existing distance),Availability (revised),Availability SD (revised),Availability (existing - Time of day scaled to represent availability),Time of day (existing - log scale),Time of day SD (existing - log scale),Ratio of adjustments for Effective Survey Area,Ratio of adjustments for Availability,Adjustment for Geographic Bias,Adjustment for Temporal Trend
Purple Martin,Progne subis,Open Country - Habitat Mosaic,Migrant,116,7.48,15.4,71.1,0.582,200,140,220,0.365,0.0321,0.783,0.244,0.0281,7.91,2.14,1.03,0.868
Scarlet Tanager,Piranga olivacea,Forests - Temperate Eastern,Migrant,21.4,2.29,9.35,65.4,0.236,200,140,220,0.518,0.00456,0.903,0.102,0.00677,9.34,1.74,1.01,0.917
Downy Woodpecker,Dryobates pubescens,Forests - Generalist,Resident,94.9,13.1,7.22,63.5,0.559,125,105,138,0.315,0.00723,0.742,0.298,0.00653,3.87,2.36,1,1.1
Clark's Nutcracker,Nucifraga columbiana,Forests - Temperate Western,Resident,1.64,0.236,6.95,165,5.79,300,220,330,0.599,0.00804,0.723,0.324,0.0131,3.32,1.21,2.43,0.802
Barn Swallow,Hirundo rustica,Open Country - Habitat Mosaic,Migrant,285,42.3,6.74,87.1,0.289,200,140,220,0.424,0.00867,0.75,0.288,0.0281,5.27,1.77,0.948,0.9
Blue Jay,Cyanocitta cristata,Forests - Temperate Eastern,Migrant,84.8,17.3,4.89,110,0.309,200,140,220,0.393,0.00406,0.822,0.196,0.0117,3.3,2.09,0.973,0.987
Blue-headed Vireo,Vireo solitarius,Forests - Boreal,Migrant,48.2,11.3,4.26,60.1,0.275,125,105,138,0.498,0.00709,0.826,0.192,0.00914,4.32,1.66,1.08,0.988
American Kestrel,Falco sparverius,Open Country - Habitat Mosaic,Migrant,10.9,2.6,4.19,135,1.93,200,140,220,0.263,0.0231,0.748,0.29,0.00669,2.19,2.84,0.942,0.949
Northern Flicker,Colaptes auratus,Forests - Generalist,Migrant,23.7,6.18,3.84,125,0.47,200,140,220,0.392,0.0067,0.769,0.263,0.046,2.55,1.96,0.922,0.879
Rose-breasted Grosbeak,Pheucticus ludovicianus,Forests - Temperate Eastern,Migrant,16.2,4.25,3.8,99.6,0.846,200,140,220,0.484,0.0074400000000000004,0.859,0.152,0.00714,4.04,1.77,0.949,1.01
Olive-sided Flycatcher,Contopus cooperi,Forests - Boreal,Migrant,5.86,1.62,3.62,131,0.956,300,220,330,0.693,0.00729,0.896,0.109,0.00661,5.26,1.29,1.36,0.847
Blackpoll Warbler,Setophaga striata,Forests - Boreal,Migrant,134,37.2,3.62,46.2,0.65,80,56,88,0.522,0.0352,0.964,0.0369,0.00739,2.99,1.85,2.01,0.748
Ash-throated Flycatcher,Myiarchus cinerascens,Aridlands - Desert Scrub,Migrant,25.3,7.37,3.43,91.3,0.435,200,140,220,0.653,0.00949,0.751,0.286,0.0127,4.8,1.15,1.08,1.01
Northern Waterthrush,Parkesia noveboracensis,Forests - Boreal,Migrant,50.9,16.2,3.14,98.7,1.65,200,140,220,0.539,0.0117,0.897,0.109,0.00674,4.11,1.66,1.16,0.923
Steller's Jay,Cyanocitta stelleri,Forests - Temperate Western,Resident,8.26,2.67,3.09,99.6,0.37,200,140,220,0.549,0.00879,0.832,0.184,0.0111,4.03,1.51,0.927,0.899
Verdin,Auriparus flaviceps,Aridlands - Desert Scrub,Resident,9.62,3.38,2.85,64.6,1.18,125,105,138,0.475,0.0706,0.806,0.216,0.0137,3.75,1.7,1.06,0.719
Mountain Bluebird,Sialia currucoides,Open Country - Habitat Mosaic,Migrant,14.6,5.16,2.84,95.4,0.589,200,140,220,0.427,0.0135,0.57,0.562,0.019,4.4,1.34,1.13,0.666
Yellow-rumped Warbler,Setophaga coronata,Forests - Boreal,Migrant,341,125,2.72,67.1,0.335,125,105,138,0.627,0.00225,0.771,0.26,0.05,3.47,1.23,1.07,0.889
Red-winged Blackbird,Agelaius phoeniceus,Open Country - Habitat Mosaic,Migrant,410,157,2.61,107,0.161,200,140,220,0.621,0.00263,0.745,0.295,0.0483,3.5,1.2,0.94,0.971
Black-capped Chickadee,Poecile atricapillus,Forests - Generalist,Resident,112,43.5,2.58,77.6,0.437,125,105,138,0.424,0.0064,0.685,0.379,0.0157,2.6,1.62,0.846,0.9
Wood Thrush,Hylocichla mustelina,Forests - Temperate Eastern,Migrant,31.4,12.4,2.53,92.8,0.841,200,140,220,0.586,0.00568,0.431,0.842,0.0148,4.64,0.735,0.988,1.09
Tennessee Warbler,Leiothlypis peregrina,Forests - Boreal,Migrant,251,104,2.4,72.2,1.61,125,105,138,0.715,0.004,0.82,0.198,0.017,3,1.15,1.23,0.938
American Robin,Turdus migratorius,Forests - Generalist,Migrant,822,343,2.4,95.1,0.153,200,140,220,0.532,0.00312,0.442,0.817,0.0406,4.42,0.83,0.934,0.962
Veery,Catharus fuscescens,Forests - Temperate Eastern,Migrant,27.3,11.6,2.35,102,0.376,200,140,220,0.539,0.00535,0.617,0.484,0.0149,3.83,1.14,0.844,1.09
Horned Lark,Eremophila alpestris,Grasslands - Temperate,Migrant,315,144,2.19,88.8,0.447,200,140,220,0.676,0.00317,0.726,0.32,0.0381,5.07,1.07,0.985,1.12
Golden-winged Warbler,Vermivora chrysoptera,Forests - Temperate Eastern,Migrant,0.881,0.411,2.14,86.2,1.39,125,105,138,0.488,0.0222,0.875,0.134,0.00562,2.1,1.79,1.12,0.943
Bobolink,Dolichonyx oryzivorus,Grasslands - Temperate,Migrant,18.2,8.91,2.04,110,0.582,200,140,220,0.555,0.00742,0.786,0.24,0.0187,3.31,1.42,0.931,0.836
Mountain Chickadee,Poecile gambeli,Forests - Temperate Western,Migrant,14.3,7.24,1.97,71.1,0.175,125,105,138,0.623,0.00551,0.754,0.282,0.0145,3.09,1.21,1.17,0.827
Red-eyed Vireo,Vireo olivaceus,Forests - Generalist,Migrant,245,144,1.7,79.9,0.237,125,105,138,0.675,0.00166,0.778,0.251,0.0179,2.45,1.15,0.908,1.09
Sedge Wren,Cistothorus stellaris,Grasslands - Temperate,Migrant,8.61,5.15,1.67,95.4,1.21,125,105,138,0.52,0.0102,0.632,0.46,0.012,1.72,1.21,0.959,0.96
Brown Creeper,Certhia americana,Forests - Generalist,Migrant,14.2,8.59,1.66,50,0.588,80,56,88,0.467,0.00761,0.721,0.328,0.00704,2.56,1.54,0.97,0.997
Chestnut-collared Longspur,Calcarius ornatus,Grasslands - Temperate,Migrant,4.33,2.68,1.61,95.1,0.744,200,140,220,0.635,0.00709,0.62,0.478,0.0357,4.42,0.978,1.03,0.966
Eastern Phoebe,Sayornis phoebe,Open Country - Habitat Mosaic,Migrant,51.2,33.1,1.55,88.7,1.1,125,105,138,0.409,0.0153,0.407,0.898,0.0119,1.98,0.995,0.952,1.01
Palm Warbler,Setophaga palmarum,Wetlands - Boreal,Migrant,9.73,6.36,1.53,77.8,5.05,125,105,138,0.641,0.0113,0.767,0.266,0.00845,2.58,1.2,1.74,0.736
Swamp Sparrow,Melospiza georgiana,Wetlands - Boreal,Migrant,32.8,21.5,1.53,92.5,0.839,125,105,138,0.515,0.009,0.603,0.505,0.0131,1.83,1.17,1.03,1.04
Bay-breasted Warbler,Setophaga castanea,Forests - Boreal,Migrant,14.2,10,1.42,58.9,2.81,80,56,88,0.57,0.0113,0.858,0.154,0.00765,1.85,1.5,1.19,1.3
Black-throated Sparrow,Amphispiza bilineata,Aridlands - Desert Scrub,Migrant,40.2,31.5,1.28,93.6,0.555,125,105,138,0.684,0.00782,0.585,0.536,0.0303,1.78,0.855,1.08,0.924
Grasshopper Sparrow,Ammodramus savannarum,Grasslands - Temperate,Migrant,37.4,29.4,1.27,67.2,0.807,125,105,138,0.83,0.00315,0.676,0.392,0.0136,3.46,0.814,1.02,0.789
Canyon Wren,Catherpes mexicanus,Aridlands - Desert Scrub,Resident,0.475,0.384,1.24,190,6.38,200,140,220,0.573,0.0258,0.534,0.627,0.00824,1.11,0.933,2.25,0.599
Black-chinned Hummingbird,Archilochus alexandri,Forests - Temperate Western,Migrant,9.28,7.82,1.19,49.2,2.55,50,26,55,0.339,0.0497,0.77,0.262,0.0058,1.03,2.27,1.08,0.862
White-throated Sparrow,Zonotrichia albicollis,Forests - Boreal,Migrant,177,150,1.18,125,0.817,200,140,220,0.567,0.00342,0.445,0.81,0.029,2.56,0.785,1.01,0.948
Say's Phoebe,Sayornis saya,Aridlands - Desert Scrub,Migrant,4.57,5.06,0.904,159,2.39,200,140,220,0.561,0.0254,0.39,0.943,0.00995,1.59,0.694,1.05,0.907
Varied Thrush,Ixoreus naevius,Forests - Temperate Western,Migrant,28.7,32.9,0.874,107,0.695,200,140,220,0.663,0.00924,0.433,0.837,0.0236,3.51,0.653,1.51,0.817
Western Meadowlark,Sturnella neglecta,Grasslands - Temperate,Migrant,77.1,91.8,0.84,172,0.363,200,140,220,0.863,0.00114,0.761,0.273,0.03,1.35,0.882,0.986,1.01
Baird's Sparrow,Centronyx bairdii,Grasslands - Temperate,Migrant,2.18,2.77,0.788,82.2,1.2,125,105,138,0.769,0.00796,0.706,0.348,0.0189,2.31,0.918,0.964,0.799
Savannah Sparrow,Passerculus sandwichensis,Grasslands - Temperate,Migrant,154,201,0.762,89.9,0.381,125,105,138,0.621,0.00544,0.7,0.357,0.0251,1.93,1.13,0.977,0.745
Northern Bobwhite,Colinus virginianus,Open Country - Habitat Mosaic,Resident,13.2,17.6,0.753,159,1.49,200,140,220,0.535,0.0122,0.624,0.471,0.0164,1.59,1.17,0.96,0.762
Clay-colored Sparrow,Spizella pallida,Grasslands - Temperate,Migrant,40.8,63.2,0.645,100,1.36,125,105,138,0.621,0.0062,0.671,0.399,0.0265,1.56,1.08,0.849,0.805
Sage Thrasher,Oreoscoptes montanus,Aridlands - Sagebrush,Migrant,3.21,5.96,0.538,174,1.46,200,140,220,0.857,0.00447,0.821,0.197,0.0156,1.32,0.958,0.968,0.882
Common Nighthawk,Chordeiles minor,Open Country - Habitat Mosaic,Migrant,7.92,19.8,0.401,149,1.71,300,220,330,0.633,0.0135,0.116,2.15,0.0151,4.03,0.184,0.968,1.01
