species,ratio,log_ratio,pop_new_millions,pop_median,pop_lci_80,pop_uci_80,pop_lci_95,pop_uci_95,version,pop_median_exist,pop_lci_80_exist,pop_uci_80_exist,pop_lci_95_exist,pop_uci_95_exist,version_exist
Brown Creeper,1.6583137008613753,0.5058012431958111,14.247606133535712,14247606.133535711,12607850.074801402,15973472.16639964,11671042.218648586,16937670.8613036,PIF_eBird,8591623,7757210.9,9263355.4,7401493.75,9727673.525,Existing
Canyon Wren,1.2373751123766419,0.21299229107641146,0.4754892278707531,475489.2278707531,326593.73221186775,603369.4066595412,292787.1966381304,731718.1629425981,PIF_eBird,384272.5,333471.4,445304.1,315968.575,481777.15,Existing
Black-capped Chickadee,2.582115544034053,0.9486090412427477,112.36401394634284,112364013.94634284,105722786.92802916,119434841.0436149,100401675.22579938,121898239.5941393,PIF_eBird,43516261,41590442.7,45289980,40363742.1,46370387.875,Existing
American Robin,2.3961675400264455,0.8738706026944008,822.4634026703849,822463402.6703849,772592055.349243,872820190.7553176,732293652.571276,889054732.579309,PIF_eBird,343241192,322743487.3,360591727.2,316820512.05,369043039.825,Existing
Barn Swallow,6.739645929401191,1.9080073908145299,285.04142236931204,285041422.36931205,247775906.0791333,317920949.3029279,233578043.8958125,340694007.6806342,PIF_eBird,42293234,40197525.5,44185053.2,39035153.35,44837524.05,Existing
Blackpoll Warbler,3.618851964450619,1.2861568386470468,134.49745596333955,134497455.96333954,109075157.59792852,161636222.7389656,96865401.23621586,178626331.64773792,PIF_eBird,37165780,30662147.8,45350101.7,25995097.85,49316050.025,Existing
Baird's Sparrow,0.7875695727775235,-0.23880356580050408,2.184148582083732,2184148.582083732,1528954.582455126,2893611.4140545856,1238024.0828559073,3459750.907990068,PIF_eBird,2773277,2199503.6,3628701.2,2003007.05,3979893.075,Existing
Western Meadowlark,0.8395942485198726,-0.17483654132130352,77.06893026760507,77068930.26760507,67288927.56241125,86408099.22661376,62986174.700865984,92107826.4839326,PIF_eBird,91793066,84899558.8,100183761.5,83488680.025,103316347.275,Existing
Mountain Bluebird,2.8383460696025735,1.0432215126716735,14.639709346524311,14639709.346524311,12745522.67823697,16501732.587741412,11714856.41875101,17486394.198403645,PIF_eBird,5157831,4602003.2,5706590,4330897.85,5974128.525,Existing
Eastern Phoebe,1.548120329443947,0.4370415043454767,51.229783338188305,51229783.338188305,47107416.841878764,55384895.75803594,44620855.28783739,57641078.50447717,PIF_eBird,33091603,31663225.4,34361537.6,31278177.5,34804325.675,Existing
Rose-breasted Grosbeak,3.8019862659580914,1.3355236317393793,16.17378454589816,16173784.545898162,14964517.870969428,17303299.365299996,14252895.529119428,17910379.96768823,PIF_eBird,4254035.5,3831443.5,4630423.5,3747360.425,5051531.775,Existing
Downy Woodpecker,7.222335313052831,1.977178351167213,94.93098925326802,94930989.25326802,87637451.63503775,102478406.60878454,83343116.28592561,106283217.18254083,PIF_eBird,13144085,12733893.9,13590885.2,12475312.875,13777260.2,Existing
Red-winged Blackbird,2.606635234118885,0.9580602072942386,410.06625609733334,410066256.0973333,349154018.16836107,463898228.8651663,322799456.0312284,491419610.1241404,PIF_eBird,157316317.5,145784609.2,169957411.2,143253781.875,176204095.75,Existing
Scarlet Tanager,9.349996798206115,2.235376000862688,21.37513053034378,21375130.530343782,20028367.536750548,22816753.114434116,18890026.114467844,23334910.210881066,PIF_eBird,2286111,2098592.4,2476976.5,2016998.7,2572119.9,Existing
Say's Phoebe,0.9038472024344095,-0.10109495673184396,4.571109158890562,4571109.158890562,3991955.305041817,5175822.051585099,3678969.2746680127,5507362.633518329,PIF_eBird,5057391.5,4617488.9,5543091.4,4428703.7,5678412.225,Existing
