species,ratio,log_ratio,pop_new_millions,pop_median,pop_lci_80,pop_uci_80,pop_lci_95,pop_uci_95,version,pop_median_exist,pop_lci_80_exist,pop_uci_80_exist,pop_lci_95_exist,pop_uci_95_exist,version_exist
Western Meadowlark,0.7753881086518917,-0.2543915896226499,70.17131459017473,70171314.59017473,61989518.71206738,79616864.19797538,56721486.46697375,83541668.7506693,PIF_eBird,90498311.5,84108221.2,98482025.6,79074461.725,103927861.475,Existing
Baird's Sparrow,0.5768662575828993,-0.5501448286257287,1.7263628438192669,1726362.8438192669,1230199.1761407298,2217519.429530855,1028824.3071467064,2608645.464493912,PIF_eBird,2992657,2461639.4,3638638.4,2270783.075,3927458.05,Existing
Brown Creeper,1.9132155079564077,0.6487853385597125,16.277067403471747,16277067.403471746,14512913.937621076,17994303.120637313,13666051.707158068,19038411.54935668,PIF_eBird,8507702,7626713.6,9310919.6,7468000.925,9741211.775,Existing
Canyon Wren,0.8600381687360023,-0.1507785084682812,0.3457714654349598,345771.4654349598,248265.94294150017,438423.3762966447,211258.7591559168,509845.0291818687,PIF_eBird,402042,331111.2,471141.2,297477.65,500502.575,Existing
Black-capped Chickadee,2.819617863567613,1.0366013663946108,121.97506864479736,121975068.64479735,114998048.75237589,129445926.82719529,108044562.22992164,131028061.13449413,PIF_eBird,43259432.5,40954077.6,45528790.5,40379320.225,46659689,Existing
American Robin,2.4823883260991635,0.9092211314738647,846.6464059074685,846646405.9074686,791286030.6881056,898919341.821592,750599190.6908063,922667872.5518024,PIF_eBird,341061226,324252459.3,360690745.8,318294925.95,369470514.9,Existing
Barn Swallow,6.018588643304266,1.7948527872004476,252.89180810936864,252891808.10936865,222199832.7544047,283614015.719571,206571354.11737305,301370987.93413246,PIF_eBird,42018457,40568897.9,44357470,39736021.95,45072650.6,Existing
Blackpoll Warbler,3.8326523561404597,1.3435570846959073,137.33288508009042,137332885.08009043,107541529.14141136,164183520.9649256,98731029.91581498,186691997.25851336,PIF_eBird,35832335.5,30502306.8,42882956,29036526.575,47399344.875,Existing
Mountain Bluebird,2.633016906271621,0.9681303014094796,13.427109208785726,13427109.208785726,11752063.430563366,14963177.977561949,11083189.534994217,15961527.485964172,PIF_eBird,5099515,4501020.6,5878978.7,4345507.575,6222927.975,Existing
Eastern Phoebe,1.3692703946979425,0.3142780393656861,45.229619181867704,45229619.181867704,41460198.341803975,48899276.84501665,39481774.28090297,51010776.84525463,PIF_eBird,33031912,31769205.9,34176251.1,31300428.475,34998451.975,Existing
Rose-breasted Grosbeak,3.5584130817806257,1.269314681937067,15.084470674182791,15084470.674182791,14124371.058963014,16188323.049274055,13304604.565048143,16580845.7444304,PIF_eBird,4239100.5,3869850.1,4677502.5,3663204.125,4936966.2,Existing
Downy Woodpecker,6.494562012902571,1.8709652133456862,86.87265456813655,86872654.56813656,80960951.1574732,93843489.39572234,75986753.51537475,95971463.30391276,PIF_eBird,13376214.5,12876074.9,13811974.3,12614979.875,14013229.7,Existing
Red-winged Blackbird,2.243982257306584,0.8082520809030703,362.3365701873237,362336570.1873237,315438407.4731054,412860558.26498145,287411899.7318845,431640076.729344,PIF_eBird,161470336.5,150482593.6,174135223.9,146349246.725,180983128.05,Existing
Scarlet Tanager,8.488688042237872,2.138734458610554,19.456297943042323,19456297.943042323,18222706.584842417,20698579.06047211,17169842.593670953,21067093.058084656,PIF_eBird,2292026.5,2146000.3,2479370.1,2058447.95,2564810.375,Existing
Say's Phoebe,0.7078996034707917,-0.34545299835077065,3.5172317432263887,3517231.7432263885,3075564.9935917463,3962461.9842233784,2867787.3742881315,4210025.375546796,PIF_eBird,4968546,4590266.1,5465111.2,4397021.525,5824164.875,Existing
Black-chinned Hummingbird,1.0427788257401496,0.04188909767365467,8.02248594153156,8022485.941531559,5139065.027714926,10291219.212403564,4627386.920891522,12964304.926951136,PIF_eBird,7693372.5,6467705.1,9815635.8,5733799.2,11331098.825,Existing
